nearest_station,day_type,ridership,ridership_share_within_day_type,crime_share_within_day_type,station_day_share,hour,hour_share,system_expected_crimes_this_hour,estimated_station_agents,baseline_expected_count,baseline_prob,baseline_rate_per_agent,lookup_key
3rd St/Convention,Weekday,1149.764705882353,0.16155187661688253,0.09644628437922695,0.14202019894558587,0,0.03162316922280091,0.32983193277310924,36.35920386052156,0.04684279671104408,0.04576260494303763,0.0012883339495204265,3rd St/Convention | Weekday | 0
3rd St/Convention,Weekday,1149.764705882353,0.16155187661688253,0.09644628437922695,0.14202019894558587,1,0.03392512876586194,0.3538415366146459,39.0059156975022,0.05025264542522382,0.049010868905931315,0.0012883339495204267,3rd St/Convention | Weekday | 1
3rd St/Convention,Weekday,1149.764705882353,0.16155187661688253,0.09644628437922695,0.14202019894558587,2,0.038644145829137055,0.4030612244897959,44.431674963312524,0.05724283528929226,0.05563528355895597,0.0012883339495204263,3rd St/Convention | Weekday | 2
3rd St/Convention,Weekday,1149.764705882353,0.16155187661688253,0.09644628437922695,0.14202019894558587,3,0.019048715218830028,0.19867947178871548,21.901540451014807,0.028216498109837288,0.027822130655220434,0.0012883339495204265,3rd St/Convention | Weekday | 3
3rd St/Convention,Weekday,1149.764705882353,0.16155187661688253,0.09644628437922695,0.14202019894558587,4,0.010905533335251632,0.1137454981992797,12.538797327695788,0.016154158283426482,0.016024379629865804,0.0012883339495204263,3rd St/Convention | Weekday | 4
3rd St/Convention,Weekday,1149.764705882353,0.16155187661688253,0.09644628437922695,0.14202019894558587,5,0.008747446263631917,0.09123649459783914,10.057504980526438,0.012957425113882986,0.012873839090458694,0.0012883339495204265,3rd St/Convention | Weekday | 5
3rd St/Convention,Weekday,1149.764705882353,0.16155187661688253,0.09644628437922695,0.14202019894558587,6,0.017235922078669468,0.1797719087635054,19.817254879392554,0.02553124224742075,0.0252080762004675,0.0012883339495204265,3rd St/Convention | Weekday | 6
3rd St/Convention,Weekday,1149.764705882353,0.16155187661688253,0.09644628437922695,0.14202019894558587,7,0.042845221995223434,0.44687875150060025,49.26192406580219,0.06346580919267028,0.0614937929629894,0.0012883339495204265,3rd St/Convention | Weekday | 7
3rd St/Convention,Weekday,1149.764705882353,0.16155187661688253,0.09644628437922695,0.14202019894558587,8,0.048139728944263806,0.5021008403361344,55.349361290857665,0.07130846123528366,0.06882538344930578,0.0012883339495204263,3rd St/Convention | Weekday | 8
3rd St/Convention,Weekday,1149.764705882353,0.16155187661688253,0.09644628437922695,0.14202019894558587,9,0.05717492015077835,0.5963385354141657,65.73770525100669,0.08469211743843912,0.0812048781454704,0.0012883339495204263,3rd St/Convention | Weekday | 9
3rd St/Convention,Weekday,1149.764705882353,0.16155187661688253,0.09644628437922695,0.14202019894558587,10,0.056915949702183985,0.5936374549819928,65.43995016934636,0.0843085094580939,0.0808523533930936,0.0012883339495204265,3rd St/Convention | Weekday | 10
