centroid_id,nearest_station,centroid_crime_count,n_centroids_in_station,uniform_share_in_station,crime_share_in_station,location_share_raw,location_share_in_station,nearest_tree_dist_m,trees_within_10m,trees_within_25m,trees_within_50m,env_within_10m,env_within_25m,env_within_50m,min_station_dist_m,mean_station_dist_m,num_stations_in_radius_from_list,lat,lon
0,East/West,19,34,0.029411764705882353,0.004721669980119284,0.019535726815577126,0.019535726815577126,41.41351537859132,0.0,0.0,2.0,0.0,0.0,0.0,535.83,535.83,1.0,35.212531,-80.865013
1,East/West,3,34,0.029411764705882353,0.0007455268389662028,0.017945269559115892,0.017945269559115892,6.528946110879007,1.0,7.0,11.0,0.0,0.0,1.0,554.33,554.33,1.0,35.213995,-80.864722
2,East/West,51,34,0.029411764705882353,0.012673956262425448,0.02271664132849959,0.02271664132849959,56.908417120924675,0.0,0.0,0.0,0.0,0.0,0.0,465.69,465.69,1.0,35.21309,-80.864091
3,East/West,382,34,0.029411764705882353,0.09493041749502983,0.05561922582154134,0.05561922582154134,6.252870819477355,1.0,1.0,1.0,0.0,0.0,1.0,548.93,548.93,1.0,35.208609,-80.863631
4,East/West,120,34,0.029411764705882353,0.02982107355864811,0.029575488246988656,0.029575488246988656,2.1411449184565226,1.0,4.0,5.0,0.0,0.0,1.0,383.95,383.95,1.0,35.211847,-80.863387
5,East/West,3,34,0.029411764705882353,0.0007455268389662028,0.017945269559115892,0.017945269559115892,21.176710883856938,0.0,2.0,10.0,0.0,0.0,0.0,422.1,422.1,1.0,35.213382,-80.863462
6,East/West,56,34,0.029411764705882353,0.013916500994035786,0.023213659221143726,0.023213659221143726,9.554403786569562,1.0,4.0,9.0,0.0,0.0,0.0,509.81,509.81,1.0,35.214791,-80.863564
7,East/West,55,34,0.029411764705882353,0.013667992047713717,0.0231142556426149,0.0231142556426149,18.578842040330283,0.0,3.0,7.0,0.0,0.0,0.0,323.53,323.53,1.0,35.211775,-80.862719
8,East/West,25,34,0.029411764705882353,0.00621272365805169,0.020132148286750088,0.020132148286750088,8.647115142032732,1.0,5.0,12.0,0.0,0.0,2.0,333.43,333.43,1.0,35.212983,-80.862606
9,East/West,558,34,0.029411764705882353,0.1386679920477137,0.0731142556426149,0.0731142556426149,9.677895996654197,1.0,9.0,22.0,0.0,1.0,4.0,284.72,284.72,1.0,35.210672,-80.86189
10,East/West,276,34,0.029411764705882353,0.06858846918489066,0.045082446497485676,0.045082446497485676,30.450662172195546,0.0,0.0,2.0,0.0,0.0,2.0,333.75,333.75,1.0,35.213987,-80.861858
11,East/West,3,34,0.029411764705882353,0.0007455268389662028,0.017945269559115892,0.017945269559115892,9.815896231988564,1.0,8.0,17.0,0.0,1.0,2.0,215.58,215.58,1.0,35.211366,-80.861433
12,East/West,63,34,0.029411764705882353,0.015656063618290257,0.023909484270845514,0.023909484270845514,8.250530171362847,1.0,6.0,14.0,0.0,1.0,5.0,157.18,157.18,1.0,35.212175,-80.860873
13,Bland,24,28,0.03571428571428571,0.005389624971929036,0.02358442141734304,0.023584421417343043,4.437361922858881,1.0,7.0,20.0,0.0,0.0,0.0,497.31,497.31,1.0,35.216431,-80.860695
14,East/West,265,34,0.029411764705882353,0.0658548707753479,0.04398900713366857,0.04398900713366857,8.06744912444023,1.0,2.0,10.0,0.0,0.0,1.0,474.73,474.73,1.0,35.207769,-80.860343
15,East/West,129,34,0.029411764705882353,0.03205765407554672,0.030470120453748098,0.030470120453748098,13.709974656546294,0.0,4.0,9.0,0.0,3.0,7.0,204.25,204.25,1.0,35.210487,-80.860549
16,East/West,104,34,0.029411764705882353,0.02584493041749503,0.027985030990527425,0.027985030990527425,13.13640444859374,0.0,6.0,19.0,0.0,0.0,1.0,165.64,165.64,1.0,35.213197,-80.860153
17,East/West,54,34,0.029411764705882353,0.01341948310139165,0.023014852064086072,0.023014852064086072,8.99255474192549,2.0,4.0,16.0,0.0,0.0,4.0,284.72,284.72,0.0,35.214669,-80.860049
18,East/West,280,34,0.029411764705882353,0.06958250497017893,0.045480060811600984,0.045480060811600984,12.434874864626774,0.0,5.0,14.0,0.0,1.0,4.0,247.89,247.89,1.0,35.209772,-80.859833
19,Bland,38,28,0.03571428571428571,0.008533572872220974,0.024842000577459816,0.02484200057745982,14.357903395659086,0.0,2.0,10.0,0.0,0.0,0.0,465.54,465.54,1.0,35.217406,-80.860021
20,East/West,105,34,0.029411764705882353,0.026093439363817097,0.028084434569056252,0.028084434569056252,3.187479664485758,1.0,3.0,5.0,0.0,0.0,1.0,523.27,523.27,1.0,35.207236,-80.859618
21,East/West,161,34,0.029411764705882353,0.04000994035785288,0.03365103496667056,0.03365103496667056,9.890744661170833,1.0,4.0,12.0,0.0,2.0,8.0,56.84,56.84,1.0,35.211597,-80.859634
22,East/West,9,34,0.029411764705882353,0.0022365805168986083,0.018541691030288854,0.018541691030288854,18.0105942375206,0.0,6.0,28.0,0.0,2.0,4.0,284.72,284.72,0.0,35.214355,-80.859359
23,Bland,32,28,0.03571428571428571,0.007186166629238716,0.02430303808026691,0.024303038080266914,9.314648905639348,1.0,5.0,11.0,0.0,1.0,3.0,467.12,467.12,1.0,35.218454,-80.859295
24,East/West,150,34,0.029411764705882353,0.037276341948310136,0.03255759560285347,0.03255759560285347,8.540952581914095,1.0,5.0,11.0,0.0,0.0,2.0,133.63,133.63,1.0,35.210775,-80.858795
25,East/West,165,34,0.029411764705882353,0.041003976143141156,0.034048649280785874,0.034048649280785874,21.950180919285952,0.0,10.0,26.0,0.0,6.0,12.0,284.72,284.72,0.0,35.212574,-80.858829
26,East/West,16,34,0.029411764705882353,0.003976143141153081,0.019237516079990642,0.019237516079990642,8.63902915235248,1.0,17.0,38.0,0.0,0.0,0.0,333.07,333.07,1.0,35.208966,-80.85866
27,Bland,74,28,0.03571428571428571,0.01661801033011453,0.028075775560617237,0.02807577556061724,10.06694753753291,0.0,6.0,14.0,0.0,0.0,0.0,354.77,354.77,1.0,35.21775,-80.858398
28,Bland,137,28,0.03571428571428571,0.030765775881428252,0.03373488178114273,0.033734881781142735,5.961448036089437,4.0,10.0,36.0,0.0,2.0,4.0,158.91,158.91,0.0,35.215328,-80.858309
29,East/West,62,34,0.029411764705882353,0.015407554671968192,0.023810080692316687,0.023810080692316687,5.20355866990476,3.0,6.0,15.0,0.0,0.0,0.0,387.68,387.68,1.0,35.208554,-80.858111
30,East/West,216,34,0.029411764705882353,0.0536779324055666,0.039118231785756054,0.039118231785756054,9.199680650855182,2.0,18.0,42.0,0.0,2.0,4.0,284.72,284.72,0.0,35.213679,-80.857913
31,Bland,54,28,0.03571428571428571,0.012126656186840333,0.02627923390330756,0.026279233903307563,10.196412716126629,0.0,3.0,8.0,0.0,0.0,1.0,292.22,292.22,1.0,35.217345,-80.857907
32,East/West,18,34,0.029411764705882353,0.0044731610337972166,0.0194363232370483,0.0194363232370483,11.040599022970126,0.0,7.0,18.0,0.0,0.0,1.0,266.76,266.76,1.0,35.209897,-80.857623
33,East/West,310,34,0.029411764705882353,0.07703777335984095,0.04846216816746579,0.04846216816746579,14.662956502128035,0.0,7.0,19.0,0.0,0.0,2.0,134.62,134.62,1.0,35.211751,-80.857709
34,East/West,52,34,0.029411764705882353,0.012922465208747515,0.022816044907028418,0.022816044907028418,23.474361118074267,0.0,4.0,22.0,0.0,0.0,2.0,220.85,220.85,1.0,35.213515,-80.857685
35,East/West,36,34,0.029411764705882353,0.008946322067594433,0.021225587650567184,0.021225587650567184,19.02690442992723,0.0,3.0,16.0,0.0,0.0,0.0,450.56,450.56,1.0,35.208109,-80.857522
36,Bland,542,28,0.03571428571428571,0.12171569728273074,0.07011485034166372,0.07011485034166373,3.6591454421938447,2.0,5.0,16.0,0.0,2.0,4.0,420.85,420.85,1.0,35.219246,-80.857294
37,Bland,33,28,0.03571428571428571,0.007410734336402425,0.024392865163132396,0.0243928651631324,16.605535395123397,0.0,3.0,13.0,0.0,3.0,5.0,440.11,440.11,1.0,35.219516,-80.857072
38,Bland,226,28,0.03571428571428571,0.05075230181899843,0.0417294921561708,0.041729492156170805,10.153680547568488,0.0,6.0,34.0,0.0,2.0,4.0,158.91,158.91,0.0,35.214699,-80.857006
39,Bland,99,28,0.03571428571428571,0.022232203009207276,0.030321452632254338,0.03032145263225434,82.83179847333582,0.0,0.0,0.0,0.0,1.0,3.0,240.49,240.49,1.0,35.21757,-80.856857
40,East/West,47,34,0.029411764705882353,0.011679920477137177,0.022319027014384284,0.022319027014384284,8.246682657452785,1.0,6.0,22.0,0.0,0.0,0.0,267.17,267.17,1.0,35.21087,-80.85654
41,East/West,184,34,0.029411764705882353,0.04572564612326044,0.035937317272833585,0.035937317272833585,10.56168027667499,0.0,10.0,41.0,0.0,0.0,2.0,284.72,284.72,0.0,35.212734,-80.856643
42,Bland,28,28,0.03571428571428571,0.006287895800583876,0.023943729748804977,0.02394372974880498,15.513655105169649,0.0,5.0,7.0,0.0,0.0,1.0,474.62,474.62,1.0,35.219971,-80.856597
43,Bland,151,28,0.03571428571428571,0.03390972378172019,0.034992460941259504,0.03499246094125951,19.805419511805184,0.0,2.0,20.0,0.0,2.0,6.0,158.91,158.91,0.0,35.216099,-80.856237
44,Bland,75,28,0.03571428571428571,0.01684257803727824,0.028165602643482723,0.028165602643482727,13.293863319781765,0.0,3.0,8.0,0.0,0.0,1.0,288.75,288.75,1.0,35.218355,-80.856054
45,Bland,27,28,0.03571428571428571,0.006063328093420166,0.02385390266593949,0.023853902665939494,7.6706526429835415,2.0,8.0,15.0,0.0,0.0,3.0,314.03,314.03,1.0,35.218631,-80.855786
46,East/West,27,34,0.029411764705882353,0.006709741550695825,0.020330955443807742,0.020330955443807742,4.2394356080010684,2.0,6.0,24.0,0.0,1.0,2.0,403.85,403.85,1.0,35.210013,-80.855405
47,East/West,20,34,0.029411764705882353,0.004970178926441352,0.019635130394105953,0.019635130394105953,9.275588473988444,2.0,9.0,25.0,0.0,0.0,0.0,338.38,338.38,1.0,35.211846,-80.855454
48,Bland,134,28,0.03571428571428571,0.03009207275993712,0.03346540053254628,0.033465400532546284,16.963942013744827,0.0,6.0,30.0,0.0,0.0,4.0,158.91,158.91,0.0,35.213671,-80.855609
49,Bland,678,28,0.03571428571428571,0.15225690545699527,0.08233133361136953,0.08233133361136954,4.081876829852565,2.0,4.0,7.0,0.0,0.0,3.0,98.98,98.98,1.0,35.216686,-80.855588
50,Bland,20,28,0.03571428571428571,0.0044913541432741975,0.023225113085881103,0.023225113085881106,8.73895733552509,1.0,4.0,13.0,0.0,0.0,2.0,349.58,349.58,1.0,35.218982,-80.855318
51,Bland,438,28,0.03571428571428571,0.09836065573770492,0.0607728337236534,0.060772833723653406,15.211020975965361,0.0,5.0,15.0,0.0,2.0,2.0,154.13,154.13,1.0,35.214569,-80.854568
52,Bland,3,28,0.03571428571428571,0.0006737031214911295,0.021698052677167876,0.02169805267716788,11.542334443758833,0.0,3.0,8.0,0.0,0.0,2.0,188.5,188.5,1.0,35.217479,-80.854778
