Station,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,Feburary 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,January 2024,Feburary 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,January 2025,Feburary 2025,March 2025,April 2025
3rd St/Convention,1143,1107,987,1001,896,733,1019,1006,1036,1072,1036,1109,1148,1328,1209,1174,1119,857,1073,1049,1216,1193,1216,1211,1306,1306,1343,1420,1293,1238,1238,1195,1388,1427
7th Street,556,533,505,523,471,409,523,507,536,593,522,627,578,639,653,645,630,497,545,563,652,640,652,650,712,712,694,755,726,637,637,646,774,807
9th Street,320,344,339,370,300,268,340,337,338,349,347,316,385,414,383,366,380,340,377,369,427,419,427,426,480,480,545,569,506,469,469,467,502,503
Bland,433,417,391,403,341,333,375,366,383,382,377,436,418,500,445,438,383,357,353,444,515,505,515,513,467,467,470,499,462,425,425,420,505,444
Brooklyn Village,880,805,683,733,712,555,761,734,787,835,755,950,837,994,1042,1000,882,708,867,892,1034,1014,1034,1030,1125,1125,1118,1193,1044,1042,1042,1005,1144,1121
Carson,278,291,246,258,211,201,242,234,255,247,240,280,266,348,332,321,287,251,258,275,318,312,318,317,336,336,338,370,331,317,317,305,396,338
CTC/Arena,2437,2303,2170,2435,1981,2069,2366,2305,2377,2401,2371,2395,2629,2763,2649,2664,2599,2274,2386,2406,2788,2734,2788,2777,2714,2714,2824,3018,2945,2707,2707,2621,3149,2767
East/West,728,753,678,693,575,580,629,619,666,682,637,737,706,903,798,790,727,641,642,674,781,766,781,778,834,834,839,923,836,759,759,726,879,820
