X,Y,OBJECTID,UNITID,Location,Status,Project,ApproveDate,ConstructDate,GlobalID,Metered
1456074.00023101,546421.999606013,939,ADA-24,,UC,Parkwood Residences,2016/09/30 00:00:00+00,,58017351-cd0f-4a2e-8bbe-ffd625e7c267,
1440398.00023101,541719.62773101,940,ADA-76,Bryant Park Dr ,A,Bryant Park Apartments,2018/06/13 00:00:00+00,,efaf4b77-2774-449a-9c98-cecad3fc7ab2,
1488129.430856,572730.464606002,941,ADA-116,Sams Lane (Dabney Dr and Univ City Blvd) LT,C,Sam's Car Wash,2019/02/27 12:11:47+00,4/5/2019,0efc4f85-8c93-46e4-a135-6a1ed3fccda4,
1472439.59710601,564444.186481014,942,ADA-109,Drivers Way (corner of MacFarlane Blvd),A,Topgolf North Charlotte,2018/11/26 00:00:00+00,,15114c02-4c74-4dc1-b889-18bffc6082bc,
1438708.00023101,515619.000231013,943,ADA-35,Old Pineville and Archdale (Light Rail Station),C,Blue Line,,,f28804f3-668e-43c3-a741-f7feb2e7d05c,NO
1467624.10773101,478988.185856014,944,ADA-92,North Rea Park Lane (corner of Terminus Rd RT),UC,Rea Farms Retail,2018/08/23 00:00:00+00,,33a81178-e710-4685-820c-b24aeecc529f,
1438763.121481,508265.883981004,945,ADA-112,Denmark Rd (mid block Bexton ,UC,Marlowe AKA Arrowood Station,2019/03/07 00:00:00+00,,4a0d6a96-bbd1-4128-af1f-3700c9b0cfd0,
1468215.97148101,478613.379606009,946,ADA-104,South Rea Park Lane (corner of Midway Park Dr LT),UC,Rea Farms Retail,2018/08/23 00:00:00+00,,486a18be-5042-47a6-b122-bb67add1cd63,
1451179.78085601,544204.045856014,947,ADA-16,9th St (Tryon and Church),C,Skyhouse Ph2,2016/05/17 00:00:00+00,"6/1/2017
",17867b51-b9f6-420b-bad9-a9932634ded0,YES
1467617.65523101,478624.238356009,948,ADA-96,South Rea Park Lane (corner of Terminus Rd RT),UC,Rea Farms Retail,2018/08/23 00:00:00+00,,016e3a42-7e69-405d-b892-b4bf6a1e6a1d,
1467324.95335601,478993.377106011,949,ADA-87,Red Rust Lane ( corner of Red Rust and Walnut Branch RT),C,Rea Farms Retail,2018/08/23 00:00:00+00,,f29b29ad-c9c2-4f6e-abed-1e1d5a173f85,
1447603.00710601,521647.050856009,950,ADA-80,Abbey Place (@ Hedgemore Drive),UC,Park Seneca Building Renovation,2016/08/31 00:00:00+00,,18ce6eb0-9289-4574-99e5-9d5e5f103b8f,
