LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_INCIDENT_BEGAN,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,nearest_station,stations_in_radius,stations_in_radius_dist_m
200 N TRYON ST,28202,35.227994,-80.841946,Central,476,2017/12/30 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Pocket-Picking,4,"""Theft-Related Offenses""",7th Street,"CTC/Arena,7th Street","335.87,363.89"
400 E TRADE ST,28202,35.224569,-80.839996,Central,476,2024/11/26 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","135.56,298.43,342.74"
1800 S TRYON ST,28203,35.213987,-80.861858,Central,388,2020/05/03 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,Counterfeiting/Forgery,2,Fraud and Financial Crimes,East/West,East/West,333.75
300 W TREMONT AV,28203,35.210672,-80.86189,Central,338,2024/08/25 00:00:00+00,Parking Lot,Commercial Place,Other - Commercial Place,Motor Vehicle Theft,8,Theft and Vehicle Offenses,East/West,East/West,284.72
300 W TREMONT AV,28203,35.210672,-80.86189,Central,338,2022/04/22 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Pocket-Picking,4,"""Theft-Related Offenses""",East/West,East/West,284.72
600 S TRYON ST,28202,35.223455,-80.848521,Central,476,2025/09/02 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Brooklyn Village,Brooklyn Village,270.46
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2025/04/16 00:00:00+00,Parking Lot,Public/Non-Residential,Government Building,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
2100 SOUTH BV,28203,35.207769,-80.860343,Central,3,2020/03/26 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,474.73
100 E 8TH ST,28202,35.230244,-80.838738,Central,476,2023/08/12 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,Burglary/B&E,7,"""Coercive and Violent Offenses""",9th Street,9th Street,345.45
400 S DAVIDSON ST,28202,35.220123,-80.841999,Central,476,2021/05/22 00:00:00+00,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,3rd St/Convention,"3rd St/Convention,Brooklyn Village","398.58,471.1"
200 S COLLEGE ST,28202,35.225467,-80.843098,Central,476,2018/04/25 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","163.83,205.97"
200 N CHURCH ST,28277,35.228926,-80.843025,Central,476,2023/01/03 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Sudden/Natural Death Investigation,9,"""Fatal Incidents and Investigations""",CTC/Arena,CTC/Arena,460.12
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2024/05/29 00:00:00+00,Other,Open Area,Cyberspace,Pornography/Obscene Material,5,Sexual Exploitation Crimes,7th Street,"CTC/Arena,7th Street","384.08,477.44"
1900 CLEVELAND AV,28203,35.209897,-80.857623,Providence,3,2022/07/19 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,266.76
1500 S TRYON ST,28203,35.216099,-80.856237,Central,339,2025/04/03 00:00:00+00,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,"Bland,East/West","92.07,532.91"
100 W TREMONT AV,28203,35.210487,-80.860549,Central,338,2024/11/01 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,East/West,East/West,204.25
200 EAST BV,28203,35.211751,-80.857709,Providence,3,2020/02/13 00:00:00+00,Outdoors,Public/Non-Residential,School - Primary or Secondary,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,134.62
1300 S TRYON ST,28203,35.218303,-80.853916,Central,339,2022/12/20 00:00:00+00,Parking Lot,Commercial Place,Bar/Tavern/Nightclub,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,301.04
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2017/02/16 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2024/01/24 00:00:00+00,Other,Open Area,Cyberspace,Pornography/Obscene Material,5,Sexual Exploitation Crimes,7th Street,"CTC/Arena,7th Street","384.08,477.44"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2018/05/29 00:00:00+00,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 N BREVARD ST,28202,35.225754,-80.838332,Central,476,2019/12/10 00:00:00+00,Outdoors,Open Area,Other - Open Area,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"7th Street,CTC/Arena","164.45,290.57"
200 E BLAND ST,28203,35.217008,-80.854286,Central,339,2024/01/25 00:00:00+00,Parking Lot,Commercial Place,Bar/Tavern/Nightclub,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,158.91
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2020/03/15 00:00:00+00,Parking Lot,Commercial Place,Bar/Tavern/Nightclub,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,98.98
200 E 3RD ST,28202,35.224709,-80.844206,Central,476,2024/03/21 00:00:00+00,Parking Lot,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"3rd St/Convention,CTC/Arena,Brooklyn Village","160.41,258.28,444.28"
100 E TRADE ST,28202,35.227199,-80.843083,Central,476,2021/11/21 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Aggravated Assault,0,"""Violent and Public Safety Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
1400 S CHURCH ST,28203,35.219246,-80.857294,Central,339,2025/06/15 00:00:00+00,Outdoors,Residential,Apartment/Duplex Private Res,Intimidation,7,"""Coercive and Violent Offenses""",Bland,Bland,420.85
2000 EUCLID AV,28203,35.208109,-80.857522,Providence,3,2017/12/11 00:00:00+00,Parking Lot,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,8,Theft and Vehicle Offenses,East/West,East/West,450.56
200 S CHURCH ST,28202,35.22733,-80.845307,Central,476,2022/07/01 00:00:00+00,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","440.26,460.44"
1900 SOUTH BV,28203,35.210775,-80.858795,Central,3,2025/04/05 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,East/West,East/West,133.63
2100 SOUTH BV,28203,35.207769,-80.860343,Central,3,2025/07/22 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,8,Theft and Vehicle Offenses,East/West,East/West,474.73
300 N COLLEGE ST,28202,35.227841,-80.839745,Central,476,2023/09/04 00:00:00+00,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,CTC/Arena,9th Street","168.09,348.82,478.48"
300 EAST BV,28204,35.21087,-80.85654,Providence,3,2019/08/20 00:00:00+00,Parking Lot,Open Area,Other - Open Area,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,267.17
2000 SOUTH BV,28203,35.209772,-80.859833,Central,3,2023/04/25 00:00:00+00,Indoors,Retail,Other - Retail,Shoplifting,4,"""Theft-Related Offenses""",East/West,East/West,247.89
200 W TRADE ST,28202,35.228131,-80.844166,Central,476,2022/09/08 00:00:00+00,Outdoors,Open Area,Other - Open Area,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,CTC/Arena,429.4
900 N COLLEGE ST,28208,35.232917,-80.832622,Central,476,2024/02/09 00:00:00+00,Indoors,Commercial Place,Mini Storage,Burglary/B&E,7,"""Coercive and Violent Offenses""",9th Street,9th Street,417.26
200 E BLAND ST,28203,35.217008,-80.854286,Central,3,2021/03/20 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,158.91
300 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,2024/02/20 00:00:00+00,Parking Deck,Open Area,Other - Open Area,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,3rd St/Convention,3rd St/Convention,469.97
600 S COLLEGE ST,28202,35.222488,-80.847424,Central,476,2019/09/09 00:00:00+00,Other,Commercial Place,Financial Institution,False Pretenses/Swindle,2,Fraud and Financial Crimes,3rd St/Convention,"Brooklyn Village,3rd St/Convention","129.49,416.18"
100 W TRADE ST,28202,35.227199,-80.843083,Central,476,2025/02/14 00:00:00+00,Outdoors,Open Area,Other - Open Area,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
200 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,2019/08/20 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,0,"""Violent and Public Safety Offenses""",3rd St/Convention,3rd St/Convention,469.97
200 N TRYON ST,28202,35.227994,-80.841946,Central,476,2022/04/09 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,7th Street","335.87,363.89"
500 N COLLEGE ST,28202,35.229332,-80.837656,Central,476,2022/06/14 00:00:00+00,Outdoors,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,9th Street","237.09,245.11"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2023/02/09 00:00:00+00,Parking Lot,Commercial Place,Park and Ride Facility,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2019/04/19 00:00:00+00,Indoors,Commercial Place,Theater,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
200 E 6TH ST,28202,35.227841,-80.839745,Central,476,2018/06/21 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,False Pretenses/Swindle,2,Fraud and Financial Crimes,9th Street,"7th Street,CTC/Arena,9th Street","168.09,348.82,478.48"
200 RAMPART ST,28203,35.208609,-80.863631,Central,338,2023/05/05 00:00:00+00,Parking Lot,Commercial Place,Other - Commercial Place,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,548.93
200 S DAVIDSON ST,28202,35.2221,-80.839211,Central,476,2022/07/29 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Simple Assault,0,"""Violent and Public Safety Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","377.83,388.25"
300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,2024/11/24 00:00:00+00,Outdoors,Open Area,Other - Open Area,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,3rd St/Convention,457.15
700 N CHURCH ST,28202,35.23278,-80.837512,Central,476,2018/06/16 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,False Pretenses/Swindle,2,Fraud and Financial Crimes,9th Street,9th Street,411.0
300 E 6TH ST,28202,35.227841,-80.839745,Central,476,2020/11/27 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Drug Equipment Violations,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,CTC/Arena,9th Street","168.09,348.82,478.48"
200 E BLAND ST,28203,35.217008,-80.854286,Central,3,2024/05/08 00:00:00+00,Parking Lot,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,158.91
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2025/01/18 00:00:00+00,Indoors,Public/Non-Residential,Air/Bus/Train Terminal,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,2021/10/24 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,9th Street,409.9
300 S TRYON ST,28202,35.225651,-80.845306,Central,476,2022/04/01 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"3rd St/Convention,CTC/Arena","304.97,363.6"
200 N TRYON ST,28202,35.227994,-80.841946,Central,476,2018/06/09 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","335.87,363.89"
100 W KINGSTON AV,28203,35.213679,-80.857913,Central,388,2023/09/10 00:00:00+00,Parking Lot,Residential,Garage/Storage - Attached,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,"East/West,Bland","224.24,338.13"
100 E TRADE ST,28202,35.227199,-80.843083,Central,476,2019/07/14 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
300 N COLLEGE ST,28202,35.227841,-80.839745,Central,476,2025/08/26 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Aggravated Assault,0,"""Violent and Public Safety Offenses""",9th Street,"7th Street,CTC/Arena,9th Street","168.09,348.82,478.48"
500 E MARTIN LUTHER KING JR BV,28202,35.221184,-80.842679,Central,476,2021/06/20 00:00:00+00,Outdoors,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,3rd St/Convention,"3rd St/Convention,Brooklyn Village","271.27,388.45"
400 E 6TH ST,28202,35.226161,-80.837768,Central,476,2023/11/26 00:00:00+00,Parking Lot,Open Area,Street/Highway,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,CTC/Arena,9th Street","120.41,353.86,466.35"
300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,2019/09/20 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,3rd St/Convention,457.15
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2025/06/28 00:00:00+00,Indoors,Open Area,Bus Stop,Stolen Property Offenses,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
400 E MARTIN LUTHER KING JR BV,28202,35.222248,-80.843363,Central,476,2019/07/30 00:00:00+00,Indoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"3rd St/Convention,Brooklyn Village,CTC/Arena","153.54,339.15,354.1"
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2019/03/07 00:00:00+00,Outdoors,Open Area,Street/Highway,Simple Assault,0,"""Violent and Public Safety Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
300 E 7TH ST,28202,35.228585,-80.838701,Central,476,2017/10/27 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2023/12/23 00:00:00+00,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,0,"""Violent and Public Safety Offenses""",Bland,Bland,98.98
100 N COLLEGE ST,28202,35.226243,-80.841973,Central,476,2023/03/26 00:00:00+00,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
300 N BREVARD ST,28202,35.226161,-80.837768,Central,476,2023/01/13 00:00:00+00,Parking Lot,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,CTC/Arena,9th Street","120.41,353.86,466.35"
300 N COLLEGE ST,28202,35.227841,-80.839745,Central,476,2021/11/21 00:00:00+00,Outdoors,Open Area,Street/Highway,Robbery,7,"""Coercive and Violent Offenses""",9th Street,"7th Street,CTC/Arena,9th Street","168.09,348.82,478.48"
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2019/06/06 00:00:00+00,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2024/01/18 00:00:00+00,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
600 PENN ST,28203,35.218631,-80.855786,Central,339,2025/03/17 00:00:00+00,Outdoors,Residential,Other - Residential,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,314.03
