YEAR,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_REPORTED,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,index_right,name,lat,lon,tempmax,tempmin,temp,precip,precipcover,cloudcover,humidity,windspeed,visibility,snow,conditions,DATE_INCIDENT_BEGAN,nearest_station,stations_in_radius,stations_in_radius_dist_m,x,y,x_snap,y_snap,centroid_id,nearest_tree_dist_m,trees_within_10m,trees_within_25m,trees_within_50m,nearest_tree_dist_ft
2022,300 S BREVARD ST,28202,35.22,-80.84,Central,476,2022-07-04,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,88.5,73.0,80.4,0.011,8.33,53.2,76.0,14.5,9.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,300 S BREVARD ST,28202,35.22,-80.84,Central,476,2022-07-04,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,88.5,73.0,80.4,0.011,8.33,53.2,76.0,14.5,9.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,300 S BREVARD ST,28202,35.22,-80.84,Central,476,2022-07-04,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,88.5,73.0,80.4,0.011,8.33,53.2,76.0,14.5,9.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,400 S TRYON ST,28202,35.22,-80.85,Central,476,2023-01-04,Outdoors,Commercial Place,Other - Commercial Place,Simple Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,63.1,57.8,61.3,1.307,50.0,89.5,93.3,12.8,8.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,400 S TRYON ST,28202,35.22,-80.85,Central,476,2023-01-04,Outdoors,Commercial Place,Other - Commercial Place,Simple Assault,4,Sexual Violence Offenses,4,Brooklyn Village,35.22139,-80.84694,63.1,57.8,61.3,1.307,50.0,89.5,93.3,12.8,8.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2018,900 SPINDLE ST,28206,35.23,-80.83,Central,476,2018-09-16,Indoors,Residential,Private Residence,Sudden/Natural Death Investigation,9,Non-Criminal Incident Reports,0,9th Street,35.2297,-80.835,73.9,71.9,72.9,3.875,100.0,99.5,97.1,25.5,3.5,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2018,600 S TRYON ST,28202,35.22,-80.85,Central,476,2018-05-23,Outdoors,Open Area,Construction Site,Sudden/Natural Death Investigation,9,Non-Criminal Incident Reports,4,Brooklyn Village,35.22139,-80.84694,86.8,71.1,77.6,0.0,0.0,74.8,76.5,10.0,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,200 E BLAND ST,28203,35.22,-80.85,Central,3,2019-11-25,Other,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",6,Bland,35.21583,-80.85528,61.1,32.1,46.1,0.0,0.0,4.8,69.5,6.5,9.8,0.0,Clear,,,,,,,,,,,,,,
2023,600 N CHURCH ST,28202,35.23,-80.84,Central,476,2023-04-28,Parking Deck,Residential,Apartment/Duplex Private Res,Intimidation,7,"""Fraud and Theft Crimes""",0,9th Street,35.2297,-80.835,75.8,60.6,67.8,0.844,25.0,78.8,77.1,14.2,9.1,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,500 N DAVIDSON ST,28202,35.23,-80.83,Central,476,2024-07-03,Indoors,Residential,Apartment/Duplex Private Res,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",0,9th Street,35.2297,-80.835,90.0,69.4,80.1,0.0,0.0,59.8,58.3,6.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2026,500 NORTH ELLIS LN,28202,35.23,-80.84,Central,476,2026-01-18,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,False Pretenses/Swindle,0,Fraudulent Financial Crimes,0,9th Street,35.2297,-80.835,48.6,28.7,39.5,0.268,54.17,47.9,83.0,12.2,8.2,0.2,"Rain, Partially cloudy",,,,,,,,,,,,,,
2026,500 NORTH ELLIS LN,28202,35.23,-80.84,Central,476,2026-01-18,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,False Pretenses/Swindle,0,Fraudulent Financial Crimes,1,7th Street,35.22722,-80.83806,48.6,28.7,39.5,0.268,54.17,47.9,83.0,12.2,8.2,0.2,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,1300 SOUTH BV,28203,35.22,-80.85,Central,3,2024-02-29,Indoors,Commercial Place,Other - Commercial Place,False Pretenses/Swindle,0,Fraudulent Financial Crimes,6,Bland,35.21583,-80.85528,53.0,38.0,45.2,0.0,0.0,58.3,32.2,12.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,300 S COLLEGE ST,28202,35.22,-80.84,Central,476,2017-02-15,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,59.9,43.4,51.1,0.422,16.67,54.6,54.3,15.5,9.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,300 S COLLEGE ST,28202,35.22,-80.84,Central,476,2017-02-15,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,59.9,43.4,51.1,0.422,16.67,54.6,54.3,15.5,9.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,300 S COLLEGE ST,28202,35.22,-80.84,Central,476,2017-02-15,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,59.9,43.4,51.1,0.422,16.67,54.6,54.3,15.5,9.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2026,2000 SOUTH BV,28203,35.21,-80.86,Central,3,2026-01-12,Indoors,Retail,Shopping Mall,Shoplifting,7,"""Fraud and Theft Crimes""",7,East/West,35.21194,-80.85917,50.0,26.7,37.3,0.0,0.0,12.3,47.3,7.7,9.9,0.0,Clear,,,,,,,,,,,,,,
2022,200 N COLLEGE ST,28202,35.23,-80.84,Central,476,2022-11-09,Outdoors,Public/Non-Residential,Dock/Wharf/Freight/Modal Terminal,Motor Vehicle Theft,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,65.9,46.1,56.1,0.0,0.0,57.4,50.5,17.9,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,200 N COLLEGE ST,28202,35.23,-80.84,Central,476,2022-11-09,Outdoors,Public/Non-Residential,Dock/Wharf/Freight/Modal Terminal,Motor Vehicle Theft,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,65.9,46.1,56.1,0.0,0.0,57.4,50.5,17.9,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,200 N COLLEGE ST,28202,35.23,-80.84,Central,476,2022-11-09,Outdoors,Public/Non-Residential,Dock/Wharf/Freight/Modal Terminal,Motor Vehicle Theft,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,65.9,46.1,56.1,0.0,0.0,57.4,50.5,17.9,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,600 S CALDWELL ST,28202,35.22,-80.85,Central,476,2024-03-02,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",4,Brooklyn Village,35.22139,-80.84694,65.7,43.0,53.3,0.023,8.33,83.8,83.3,11.0,7.0,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,600 E TRADE ST,28202,35.22,-80.84,Central,476,2017-01-20,Indoors,Commercial Place,Bus - Charter/Tour Bus,Pocket-Picking,7,"""Fraud and Theft Crimes""",1,7th Street,35.22722,-80.83806,62.1,51.3,55.5,0.082,12.5,72.3,80.5,14.0,8.1,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,600 E TRADE ST,28202,35.22,-80.84,Central,476,2017-01-20,Indoors,Commercial Place,Bus - Charter/Tour Bus,Pocket-Picking,7,"""Fraud and Theft Crimes""",2,CTC/Arena,35.225,-80.84139,62.1,51.3,55.5,0.082,12.5,72.3,80.5,14.0,8.1,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,100 N TRYON ST,28202,35.23,-80.84,Central,476,2020-06-18,Outdoors,Commercial Place,Other - Commercial Place,Arson,6,"""Violent and Harmful Offenses""",2,CTC/Arena,35.225,-80.84139,79.7,64.1,70.3,0.021,16.67,72.2,76.2,10.7,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,100 N TRYON ST,28202,35.23,-80.84,Central,476,2020-06-18,Outdoors,Commercial Place,Other - Commercial Place,Arson,6,"""Violent and Harmful Offenses""",3,3rd St/Convention,35.22361,-80.84306,79.7,64.1,70.3,0.021,16.67,72.2,76.2,10.7,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,2000 EUCLID AV,28213,35.21,-80.86,Providence,3,2017-04-18,Indoors,Residential,Private Residence,Wire Fraud,0,Fraudulent Financial Crimes,7,East/West,35.21194,-80.85917,70.1,64.1,67.4,0.0,0.0,81.7,67.1,14.0,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,300 S TRYON ST,28202,35.23,-80.85,Central,476,2018-08-23,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,80.9,65.7,73.1,0.0,0.0,25.3,57.1,12.7,9.3,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,300 S TRYON ST,28202,35.23,-80.85,Central,476,2018-08-23,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,80.9,65.7,73.1,0.0,0.0,25.3,57.1,12.7,9.3,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,300 S CHURCH ST,28202,35.23,-80.85,Central,476,2023-05-13,Parking Deck,Commercial Place,Other - Commercial Place,Motor Vehicle Theft,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,83.5,68.9,74.5,0.151,8.33,88.1,75.5,9.2,9.2,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,300 E 6TH ST,28202,35.23,-80.84,Central,476,2023-10-08,Parking Deck,Open Area,Other - Open Area,Theft From Motor Vehicle,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,67.6,43.1,54.6,0.0,0.0,14.6,52.8,9.1,9.9,0.0,Clear,,,,,,,,,,,,,,
2023,300 E 6TH ST,28202,35.23,-80.84,Central,476,2023-10-08,Parking Deck,Open Area,Other - Open Area,Theft From Motor Vehicle,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,67.6,43.1,54.6,0.0,0.0,14.6,52.8,9.1,9.9,0.0,Clear,,,,,,,,,,,,,,
2023,300 E 6TH ST,28202,35.23,-80.84,Central,476,2023-10-08,Parking Deck,Open Area,Other - Open Area,Theft From Motor Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,67.6,43.1,54.6,0.0,0.0,14.6,52.8,9.1,9.9,0.0,Clear,,,,,,,,,,,,,,
2018,300 E TRADE ST,28202,35.23,-80.84,Central,476,2018-09-04,Outdoors,Commercial Place,Stadium/Arena,Aggravated Assault,4,Sexual Violence Offenses,1,7th Street,35.22722,-80.83806,91.7,73.0,80.6,0.173,12.5,67.0,78.7,9.4,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2018,300 E TRADE ST,28202,35.23,-80.84,Central,476,2018-09-04,Outdoors,Commercial Place,Stadium/Arena,Aggravated Assault,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,91.7,73.0,80.6,0.173,12.5,67.0,78.7,9.4,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2018,300 E TRADE ST,28202,35.23,-80.84,Central,476,2018-09-04,Outdoors,Commercial Place,Stadium/Arena,Aggravated Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,91.7,73.0,80.6,0.173,12.5,67.0,78.7,9.4,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,200 E 3RD ST,28202,35.22,-80.84,Central,476,2022-04-24,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,80.6,59.7,69.7,0.0,0.0,14.2,62.6,10.2,9.9,0.0,Clear,,,,,,,,,,,,,,
2022,200 E 3RD ST,28202,35.22,-80.84,Central,476,2022-04-24,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,80.6,59.7,69.7,0.0,0.0,14.2,62.6,10.2,9.9,0.0,Clear,,,,,,,,,,,,,,
2022,200 E 3RD ST,28202,35.22,-80.84,Central,476,2022-04-24,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,80.6,59.7,69.7,0.0,0.0,14.2,62.6,10.2,9.9,0.0,Clear,,,,,,,,,,,,,,
2022,100 S POPLAR ST,28202,35.23,-80.85,Central,476,2022-05-02,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,85.8,62.6,73.2,0.0,0.0,56.8,69.5,13.3,8.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,200 E 7TH ST,28202,35.23,-80.84,Central,476,2023-10-15,Parking Lot,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,65.0,52.4,58.9,0.0,0.0,52.4,58.4,14.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,200 E 7TH ST,28202,35.23,-80.84,Central,476,2023-10-15,Parking Lot,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,65.0,52.4,58.9,0.0,0.0,52.4,58.4,14.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,200 E 7TH ST,28202,35.23,-80.84,Central,476,2023-10-15,Parking Lot,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,65.0,52.4,58.9,0.0,0.0,52.4,58.4,14.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,300 N CALDWELL ST,28202,35.23,-80.84,Central,476,2018-10-19,Parking Lot,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,69.4,43.0,56.5,0.0,0.0,27.9,72.3,8.9,9.6,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,300 N CALDWELL ST,28202,35.23,-80.84,Central,476,2018-10-19,Parking Lot,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,69.4,43.0,56.5,0.0,0.0,27.9,72.3,8.9,9.6,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,100 N TRYON ST,28202,35.23,-80.84,Central,476,2023-09-20,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,81.8,62.2,72.3,0.0,0.0,85.5,61.6,6.4,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,100 N TRYON ST,28202,35.23,-80.84,Central,476,2023-09-20,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,81.8,62.2,72.3,0.0,0.0,85.5,61.6,6.4,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,700 E 7TH ST,28202,35.22,-80.83,Central,476,2024-11-20,Outdoors,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,65.0,51.7,61.3,0.363,37.5,91.1,86.7,18.8,5.9,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2022,500 N COLLEGE ST,28202,35.23,-80.84,Central,476,2022-09-11,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,84.0,71.0,76.4,0.047,29.17,85.9,83.5,10.0,9.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,500 N COLLEGE ST,28202,35.23,-80.84,Central,476,2022-09-11,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,84.0,71.0,76.4,0.047,29.17,85.9,83.5,10.0,9.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,300 E TRADE ST,28202,35.23,-80.84,Central,476,2019-11-24,Indoors,Commercial Place,Other - Commercial Place,Purse-Snatching,7,"""Fraud and Theft Crimes""",1,7th Street,35.22722,-80.83806,57.9,41.8,48.7,0.0,0.0,22.1,66.8,9.8,9.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,300 E TRADE ST,28202,35.23,-80.84,Central,476,2019-11-24,Indoors,Commercial Place,Other - Commercial Place,Purse-Snatching,7,"""Fraud and Theft Crimes""",2,CTC/Arena,35.225,-80.84139,57.9,41.8,48.7,0.0,0.0,22.1,66.8,9.8,9.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,300 E TRADE ST,28202,35.23,-80.84,Central,476,2019-11-24,Indoors,Commercial Place,Other - Commercial Place,Purse-Snatching,7,"""Fraud and Theft Crimes""",3,3rd St/Convention,35.22361,-80.84306,57.9,41.8,48.7,0.0,0.0,22.1,66.8,9.8,9.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,200 E MARTIN LUTHER KING JR BV,28202,35.22,-80.85,Central,476,2025-10-21,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,78.1,45.5,61.4,0.0,0.0,17.3,56.7,17.7,9.8,0.0,Clear,,,,,,,,,,,,,,
2025,200 E MARTIN LUTHER KING JR BV,28202,35.22,-80.85,Central,476,2025-10-21,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,78.1,45.5,61.4,0.0,0.0,17.3,56.7,17.7,9.8,0.0,Clear,,,,,,,,,,,,,,
2025,200 E MARTIN LUTHER KING JR BV,28202,35.22,-80.85,Central,476,2025-10-21,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,78.1,45.5,61.4,0.0,0.0,17.3,56.7,17.7,9.8,0.0,Clear,,,,,,,,,,,,,,
2021,700 N CALDWELL ST,28202,35.23,-80.83,Central,476,2021-11-16,Indoors,Public/Non-Residential,School - Primary or Secondary,Forcible Fondling,4,Sexual Violence Offenses,0,9th Street,35.2297,-80.835,67.0,32.8,50.3,0.0,0.0,15.0,58.9,7.7,9.9,0.0,Clear,,,,,,,,,,,,,,
2024,100 E 5TH ST,28202,35.23,-80.84,Central,476,2024-06-28,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,90.9,70.7,81.3,0.0,0.0,57.6,64.6,14.1,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,100 E 5TH ST,28202,35.23,-80.84,Central,476,2024-06-28,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,90.9,70.7,81.3,0.0,0.0,57.6,64.6,14.1,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,300 E TRADE ST,28202,35.23,-80.84,Central,476,2019-03-14,Other,Commercial Place,Stadium/Arena,False Pretenses/Swindle,0,Fraudulent Financial Crimes,1,7th Street,35.22722,-80.83806,74.7,48.1,61.7,0.0,0.0,63.5,65.7,16.0,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,300 E TRADE ST,28202,35.23,-80.84,Central,476,2019-03-14,Other,Commercial Place,Stadium/Arena,False Pretenses/Swindle,0,Fraudulent Financial Crimes,2,CTC/Arena,35.225,-80.84139,74.7,48.1,61.7,0.0,0.0,63.5,65.7,16.0,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,300 E TRADE ST,28202,35.23,-80.84,Central,476,2019-03-14,Other,Commercial Place,Stadium/Arena,False Pretenses/Swindle,0,Fraudulent Financial Crimes,3,3rd St/Convention,35.22361,-80.84306,74.7,48.1,61.7,0.0,0.0,63.5,65.7,16.0,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,300 W BLAND ST,29203,35.22,-80.86,Central,339,2022-10-29,Parking Lot,Public/Non-Residential,Other - Public/Non-Residential,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",6,Bland,35.21583,-80.85528,64.8,51.1,58.6,0.0,0.0,95.8,70.2,14.1,9.8,0.0,Overcast,,,,,,,,,,,,,,
2020,500 N COLLEGE ST,28202,35.23,-80.84,Central,476,2020-04-17,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Damage/Vandalism Of Property,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,71.2,38.2,57.4,0.0,0.0,24.3,53.4,21.9,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2020,500 N COLLEGE ST,28202,35.23,-80.84,Central,476,2020-04-17,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Damage/Vandalism Of Property,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,71.2,38.2,57.4,0.0,0.0,24.3,53.4,21.9,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,200 W TRADE ST,28202,35.23,-80.84,Central,476,2024-02-13,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,58.9,42.4,52.7,0.013,4.17,20.5,50.6,18.4,9.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2021,300 W TREMONT AV,28203,35.21,-80.86,Central,338,2021-03-17,Indoors,Commercial Place,Office,All Other Thefts,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,57.5,44.3,49.7,0.024,12.5,98.9,88.1,8.5,3.4,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2017,400 E MARTIN LUTHER KING JR BV,28202,35.22,-80.84,Central,476,2017-10-23,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,73.1,61.1,67.9,1.753,58.33,80.6,91.1,27.5,8.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,400 E MARTIN LUTHER KING JR BV,28202,35.22,-80.84,Central,476,2017-10-23,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,73.1,61.1,67.9,1.753,58.33,80.6,91.1,27.5,8.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,400 E MARTIN LUTHER KING JR BV,28202,35.22,-80.84,Central,476,2017-10-23,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,73.1,61.1,67.9,1.753,58.33,80.6,91.1,27.5,8.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,2100 SOUTH BV,28203,35.21,-80.86,Central,3,2023-05-24,Indoors,Residential,Apartment/Duplex Private Res,Identity Theft,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,78.0,56.8,68.0,0.0,0.0,53.9,42.4,14.6,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,600 E BROOKLYN VILLAGE AV,28202,35.22,-80.84,Central,3,2024-12-26,Parking Deck,Commercial Place,Other - Commercial Place,Intimidation,7,"""Fraud and Theft Crimes""",4,Brooklyn Village,35.22139,-80.84694,50.3,36.5,44.1,0.0,0.0,79.2,62.2,9.8,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,1500 SOUTH BV,28203,35.21,-80.85,Central,3,2025-05-20,Indoors,Retail,Department Store,Shoplifting,7,"""Fraud and Theft Crimes""",6,Bland,35.21583,-80.85528,82.0,67.4,74.1,0.0,0.0,81.1,65.9,11.0,9.5,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,300 W BLAND ST,28203,35.22,-80.86,Central,339,2022-09-26,Parking Lot,Commercial Place,Bar/Tavern/Nightclub,Theft From Motor Vehicle,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,80.9,58.8,68.8,0.0,0.0,26.7,64.7,14.1,9.3,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-05-10,Outdoors,Open Area,Street/Highway,All Other Thefts,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,87.1,54.9,72.4,0.0,0.0,25.4,60.6,9.9,9.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-05-10,Outdoors,Open Area,Street/Highway,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,87.1,54.9,72.4,0.0,0.0,25.4,60.6,9.9,9.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-05-10,Outdoors,Open Area,Street/Highway,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,87.1,54.9,72.4,0.0,0.0,25.4,60.6,9.9,9.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,2100 HAWKINS ST,28203,35.21,-80.86,Central,338,2025-04-20,Other,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,83.0,64.1,73.3,0.0,0.0,68.7,62.7,12.7,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-02-20,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,73.0,39.0,57.9,0.0,0.0,29.8,54.4,8.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-02-20,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,73.0,39.0,57.9,0.0,0.0,29.8,54.4,8.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-02-20,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,73.0,39.0,57.9,0.0,0.0,29.8,54.4,8.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
