YEAR,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_REPORTED,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,index_right,name,lat,lon,tempmax,tempmin,temp,precip,precipcover,cloudcover,humidity,windspeed,visibility,snow,conditions,DATE_INCIDENT_BEGAN,nearest_station,stations_in_radius,stations_in_radius_dist_m,x,y,x_snap,y_snap,centroid_id,nearest_tree_dist_m,trees_within_10m,trees_within_25m,trees_within_50m,nearest_tree_dist_ft
2023,600 E TRADE ST,28208,35.22,-80.84,Central,476,2023-09-08,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,83.1,66.2,75.1,0.0,0.0,67.1,73.1,9.3,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,600 E TRADE ST,28208,35.22,-80.84,Central,476,2023-09-08,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,83.1,66.2,75.1,0.0,0.0,67.1,73.1,9.3,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,100 E 8TH ST,28208,35.23,-80.84,Central,476,2022-11-30,Outdoors,Commercial Place,Other - Commercial Place,Simple Assault,4,Sexual Violence Offenses,0,9th Street,35.2297,-80.835,62.1,44.1,53.9,1.14,41.67,75.2,78.5,14.4,7.2,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,200 W TREMONT AV,28208,35.21,-80.86,Central,388,2023-09-27,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Disorderly Conduct,3,"""Regulatory and Nonviolent Offenses""",7,East/West,35.21194,-80.85917,67.8,62.9,65.4,0.0,0.0,98.8,75.5,14.2,9.7,0.0,Overcast,,,,,,,,,,,,,,
2017,500 E MOREHEAD ST,28208,35.22,-80.85,Providence,3,2017-10-18,Parking Deck,Retail,Other - Retail,Theft From Motor Vehicle,1,Property Theft and Vandalism,5,Carson,35.21889,-80.85083,70.0,42.1,55.5,0.0,0.0,15.3,62.4,8.7,9.9,0.0,Clear,,,,,,,,,,,,,,
2023,200 E 9TH ST,28208,35.23,-80.84,Central,476,2023-01-05,Outdoors,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,65.9,44.4,55.7,0.0,0.0,17.0,57.5,16.5,9.8,0.0,Clear,,,,,,,,,,,,,,
2023,200 E 9TH ST,28208,35.23,-80.84,Central,476,2023-01-05,Outdoors,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,65.9,44.4,55.7,0.0,0.0,17.0,57.5,16.5,9.8,0.0,Clear,,,,,,,,,,,,,,
2025,1400 S TRYON ST,28208,35.22,-80.86,Central,339,2025-08-30,Outdoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,83.9,62.1,73.8,0.0,0.0,30.9,62.7,7.7,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,100 N TRYON ST,28208,35.23,-80.84,Central,476,2017-07-17,Indoors,Commercial Place,Other - Commercial Place,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,88.2,69.9,77.0,0.149,16.67,56.2,71.6,9.6,9.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,100 N TRYON ST,28208,35.23,-80.84,Central,476,2017-07-17,Indoors,Commercial Place,Other - Commercial Place,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,88.2,69.9,77.0,0.149,16.67,56.2,71.6,9.6,9.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
