OBJECTID,GEOID,Minor_pct,Poverty_pct,Senior_pct,BIPOC_pct,ZeroCar_pct,Disability_pct,LEP_pct,Score_State,Score_Division,Score_MPO,Score_County,Key_CountyFIPS,Key_DivNbr,Key_MPO,GlobalID,Shape__Area,Shape__Length
4071,370810125042,0.258328096,0.299811439,0.12884978,0.708359522,0.011345219,0.088082902,0.105827194,15,15,14,15,81,7,Greensboro Urban Area MPO,40a79df2-2216-4ff8-a35f-b8763bcb7e24,0.000129868773910857,0.0579840429104459
4072,370810125101,0.15008338,0.006114508,0.220678155,0.317954419,0.025210084,0.115283267,0.009837963,10.5,10.5,9,8,81,7,Greensboro Urban Area MPO,ef145d20-a9a3-407c-b182-9ef4d7a235b6,0.000163730440362997,0.0557297576772073
4073,371290105042,0.10808768,0.35978836,0.065759637,0.15117158,0.028967254,0.114912281,0,9,9,9,10,129,3,Wilmington Urban Area MPO,63cb4b40-cc2c-4cc6-a18e-b204694c57c7,7.90234732903627E-05,0.0450716008486532
4074,370630018064,0.29322123,0.333683657,0.003152916,0.715712034,0,0.113767519,0,13,13,14,14,63,5,Durham Chapel Hill Carrboro MPO,51505b15-d4dd-4406-b980-065db733a72d,0.000308352849287985,0.0937855548296438
4075,371190058492,0.247807854,0.040411742,0.113229127,0.328631338,0.038716814,0.125,0.025010085,11,11.5,11.5,11.5,119,10,Charlotte Regional Transportation Planning Organization,62ab6a4c-e35f-4cbe-96e4-1ddaac561e3b,0.000201068068008681,0.0713533156200996
4076,371190005012,0.067681895,0.174844896,0.041737169,0.460800902,0,0.073457395,0.01447597,9,10,10,10,119,10,Charlotte Regional Transportation Planning Organization,6ff1b9bb-d002-4521-896e-d38837328691,7.12359762928827E-05,0.0354459634157539
4077,371190001022,0.022988506,0.045210728,0.042911877,0.22605364,0.027892562,0.010196078,0,8,8,8,8,119,10,Charlotte Regional Transportation Planning Organization,3f3a96b7-6591-4027-83a5-a60d89dda4a6,2.66998126789986E-05,0.0236708677363949
4078,371790203142,0.179949875,0.099749373,0.155388471,0.428070175,0.017878427,0.104193139,0.022039979,11,10.5,10.5,10.5,179,10,Charlotte Regional Transportation Planning Organization,58a5944c-a6a0-42c9-bc4f-5c7a6b50ec5a,0.000115507747750598,0.0555878829213519
4079,371790210091,0.415064103,0,0.142628205,0.169871795,0,0,0,7,6.5,6.5,6.5,179,10,Charlotte Regional Transportation Planning Organization,f3cd4785-6c1c-4dab-be2f-c238f2c100d8,0.000252504329864678,0.106560225412051
4080,371790210062,0.268686869,0.02962963,0.074747475,0.268013468,0,0.075309819,0.017202693,10,10,10,10,179,10,Charlotte Regional Transportation Planning Organization,c8022d31-4d16-488f-b693-23d5356b1cbb,0.000120899437433764,0.0450964642121331
4081,371790210061,0.326196474,0.063602015,0.120277078,0.069899244,0.038181818,0.022988506,0.144149968,11.5,11,11,11,179,10,Charlotte Regional Transportation Planning Organization,c74e127d-9b97-4c96-9153-9a19828b455a,0.000375715444079106,0.100342930709969
4082,371790207011,0.207894737,0.539473684,0.144210526,0.516315789,0.042836041,0.24366872,0.03604119,14,14.5,14.5,14.5,179,10,Charlotte Regional Transportation Planning Organization,d46c079c-4d68-4034-9e71-467160df8d74,0.0017516313505439,0.226327214758137
4083,371790209021,0.210468116,0.233321047,0.143752304,0.276446738,0.071868583,0.156395892,0.159521051,13,12,15.5,14,179,10,Rocky River RPO,ea776cf5-11e7-4c62-a552-5161a14da7b2,0.00509924807943207,0.336580304343261
