OBJECTID,Tree_ID,Common,DBH,Active,Location,lat,lon,Deciduous,index_right,centroid_id,x_snap,y_snap,dist_m
261277,96760,ELM CHINESE,15.0,1,1810 SOUTH BV,35.21144921238638,-80.85816651804006,1,4,1,512750.0,3896350.0,219.80732438599904
261283,96762,ELM CHINESE,14.0,1,1812 SOUTH BV,35.211303605614496,-80.85833427438556,1,4,1,512750.0,3896350.0,197.6195251905541
261324,97919,ASH GREEN,18.0,1,400 EAST BV,35.20986560219834,-80.85549627214324,1,4,1,512750.0,3896350.0,403.1488500739759
261655,97495,CRAPEMYRTLE SPP,8.0,1,304 E WORTHINGTON AV,35.209675053608244,-80.8574164550998,1,4,1,512750.0,3896350.0,232.12678894989108
262189,97471,CRAPEMYRTLE SPP,10.0,1,1950 ABBOTT ST,35.211937749940475,-80.8637063414976,1,4,1,512750.0,3896350.0,401.4575514730895
262428,97927,OAK WILLOW,22.0,1,315 E WORTHINGTON AV,35.209548914165026,-80.85703566607492,1,4,1,512750.0,3896350.0,268.9413901311428
262703,106665,MAPLE RED,7.0,1,1924 CLEVELAND AV,35.20908320550471,-80.85870706661592,1,4,1,512750.0,3896350.0,156.40959337859792
262891,97498,CRAPEMYRTLE SPP,4.0,1,316 E WORTHINGTON AV,35.20941816455297,-80.85707580220006,1,4,1,512750.0,3896350.0,268.9951964588958
263242,97941,PECAN,26.0,1,228 EAST BV,35.210700883970844,-80.85682344527125,1,4,1,512750.0,3896350.0,289.80465553062845
263367,97978,OAK WILLOW,15.0,1,1800 CAMDEN RD,35.21267607859353,-80.85922675464823,1,4,1,512750.0,3896350.0,294.2314299214302
264149,97354,CRAPEMYRTLE SPP,5.0,1,1930 CAMDEN RD,35.21130974127182,-80.86138511813986,1,4,1,512750.0,3896350.0,190.55758170213366
264287,97959,ELM CHINESE,14.0,1,1901 SOUTH BV,35.210542137616144,-80.858912682966,1,4,1,512750.0,3896350.0,104.61424500000545
264669,97517,CRAPEMYRTLE SPP,7.0,1,1923 EUCLID AV,35.20829041755784,-80.85722745796365,1,4,1,512750.0,3896350.0,315.48090285207047
265422,97922,ELM CHINESE,3.0,1,329 E WORTHINGTON AV,35.20934987701732,-80.8562221692662,1,4,1,512750.0,3896350.0,346.0697758346585
265628,107383,OAK SOUTHERN RED,14.0,1,2034 CLEVELAND AV,35.20861510936839,-80.85892348835694,1,4,1,512750.0,3896350.0,186.36605538461873
265929,107312,CRAPEMYRTLE SPP,4.0,1,2048 CLEVELAND AV,35.20842281736939,-80.85913503500701,1,4,1,512750.0,3896350.0,197.54091053518073
266029,97970,ELM CHINESE,4.0,1,1807 S TRYON ST,35.213335194979074,-80.86063827777728,1,4,1,512750.0,3896350.0,366.4495525238568
266395,97938,CRAPEMYRTLE SPP,7.0,1,300 EAST BV,35.21059058904053,-80.85676178781854,1,4,1,512750.0,3896350.0,292.67027202820975
266416,98004,MAPLE RED,15.0,1,310 EAST BV,35.210569634947454,-80.856324645708,1,4,1,512750.0,3896350.0,331.421259010821
266532,97948,OAK WILLOW,20.0,1,229 E WORTHINGTON AV,35.210078499487366,-80.85775220753742,1,4,1,512750.0,3896350.0,197.088735871623
266657,97990,ELM CHINESE,10.0,1,1801 SOUTH BV,35.21149096589373,-80.85755926033737,1,4,1,512750.0,3896350.0,265.3511181773617
266942,97384,MAGNOLIA CUCUMBER TREE,7.0,1,127 W WORTHINGTON AV,35.21196640885409,-80.8605507409721,1,4,1,512750.0,3896350.0,216.54129242099188
266997,107359,CRAPEMYRTLE SPP,1.0,1,2036 CLEVELAND AV,35.208587923826435,-80.85894511603229,1,4,1,512750.0,3896350.0,188.0730270872767
267701,106424,REDCEDAR EASTERN,20.0,1,325 E TREMONT AV,35.20831266996139,-80.85768779836451,0,4,1,512750.0,3896350.0,282.4704047009229
267841,97497,CRAPEMYRTLE SPP,3.0,1,312 E WORTHINGTON AV,35.2094737832808,-80.8571545863294,1,4,1,512750.0,3896350.0,260.4362895880736
268291,107962,ARBORVITAE AMERICAN,4.0,1,2127 HAWKINS ST,35.20969924963799,-80.8621097602302,0,4,1,512750.0,3896350.0,204.04560527189935
268517,107334,CRAPEMYRTLE SPP,3.0,1,2044 CLEVELAND AV,35.208506941515466,-80.85904272822823,1,4,1,512750.0,3896350.0,192.19502884288883
268525,97399,CRAPEMYRTLE SPP,3.0,1,1930 HAWKINS ST,35.21161385568878,-80.86134810550688,1,4,1,512750.0,3896350.0,213.84183208257193
268563,96959,CHERRY/PLUM/PEACH SPP,7.0,1,1800 CAMDEN RD,35.21209819115338,-80.85932423337727,1,4,1,512750.0,3896350.0,229.78306922765165
268613,97488,CRAPEMYRTLE SPP,6.0,1,216 E WORTHINGTON AV,35.210220691383974,-80.85814465316483,1,4,1,512750.0,3896350.0,162.0758361568823
268685,97952,CRAPEMYRTLE SPP,2.0,1,1933 SOUTH BV,35.209923363568684,-80.85959509502977,1,4,1,512750.0,3896350.0,34.34927719322869
268692,107909,SWEETGUM AMERICAN,4.0,1,2000 CLEVELAND AV,35.208768787005226,-80.85902290388866,1,4,1,512750.0,3896350.0,167.07376023187788
268796,105708,OAK WILLOW,24.0,1,1831 SOUTH BV,35.21064817305153,-80.85852068584192,1,4,1,512750.0,3896350.0,141.6906227080982
268814,97920,CRAPEMYRTLE SPP,6.0,1,330 EAST BV,35.2097979222789,-80.85572588715443,1,4,1,512750.0,3896350.0,382.83914481179113
268832,106876,CRAPEMYRTLE SPP,4.0,1,200 E TREMONT AV,35.209536926986225,-80.85955551484169,1,4,1,512750.0,3896350.0,69.06704179173173
269153,97395,MAGNOLIA CUCUMBER TREE,4.0,1,124 W WORTHINGTON AV,35.21197333215785,-80.86026958814656,1,4,1,512750.0,3896350.0,211.93557693783416
269243,97928,OAK WILLOW,19.0,1,315 E WORTHINGTON AV,35.209593286930826,-80.85711175070668,1,4,1,512750.0,3896350.0,261.1212541525427
269394,96958,CHERRY/PLUM/PEACH SPP,9.0,1,1800 CAMDEN RD,35.21214631722071,-80.85928141722233,1,4,1,512750.0,3896350.0,235.90025342749308
269673,96963,CHERRY/PLUM/PEACH SPP,15.0,1,100 W WORTHINGTON AV,35.21187933909878,-80.85949381943112,1,4,1,512750.0,3896350.0,202.7778321381611
269898,107163,CRAPEMYRTLE SPP,4.0,1,2004 ATHERTON HEIGHTS LN,35.208570904172554,-80.85821748078409,1,4,1,512750.0,3896350.0,228.28000499025907
270807,96773,CRAPEMYRTLE SPP,5.0,1,1928 SOUTH BV,35.210004882414125,-80.85996915526985,1,4,1,512750.0,3896350.0,9.975414173019521
270904,96962,CHERRY/PLUM/PEACH SPP,9.0,1,100 W WORTHINGTON AV,35.21174721034481,-80.85960841197738,1,4,1,512750.0,3896350.0,186.55731789162718
271238,96770,ELM CHINESE,9.0,1,1910 SOUTH BV,35.21030772804523,-80.85943184759648,1,4,1,512750.0,3896350.0,50.68313260030899
271292,97492,DOGWOOD FLOWERING,9.0,1,300 E WORTHINGTON AV,35.209819053448705,-80.85760809458496,1,4,1,512750.0,3896350.0,212.25236790693043
271395,97483,CRAPEMYRTLE SPP,4.0,1,1901 SOUTH BV,35.210643507242104,-80.85870877385891,1,4,1,512750.0,3896350.0,126.29996926472394
271622,97944,CRAPEMYRTLE SPP,3.0,1,229 E WORTHINGTON AV,35.210254813368614,-80.85731960718277,1,4,1,512750.0,3896350.0,237.21723758107166
271734,97929,OAK WILLOW,26.0,1,1829 CLEVELAND AV,35.20971559171035,-80.85727031881397,1,4,1,512750.0,3896350.0,244.39279050517277
271903,108067,OAK WILLOW,18.0,1,2041 SOUTH BV,35.208185677523154,-80.85983758823798,1,4,1,512750.0,3896350.0,210.67788470546105
272313,97967,ELM CHINESE,4.0,1,1807 S TRYON ST,35.21352901497216,-80.8610651023435,1,4,1,512750.0,3896350.0,396.0453591367881
272788,97490,CRAPEMYRTLE SPP,8.0,1,216 E WORTHINGTON AV,35.21001668124923,-80.85787271576844,1,4,1,512750.0,3896350.0,186.27013685321995
273094,97931,OAK WILLOW,8.0,1,1829 CLEVELAND AV,35.20986411963326,-80.85746284575953,1,4,1,512750.0,3896350.0,224.75487452180198
273385,97917,CRAPEMYRTLE SPP,6.0,1,401 E WORTHINGTON AV,35.20923694689131,-80.85618520762604,1,4,1,512750.0,3896350.0,352.47080248535957
273398,107827,PHOTINIA SPP,11.0,1,200 E TREMONT AV,35.20889546928381,-80.85883494142618,1,4,1,512750.0,3896350.0,164.59308130605606
273443,97445,CRAPEMYRTLE SPP,4.0,1,1930 HAWKINS ST,35.2116970050282,-80.86205282026724,1,4,1,512750.0,3896350.0,264.1184571773315
273476,97945,CRAPEMYRTLE SPP,5.0,1,229 E WORTHINGTON AV,35.210130535862014,-80.85745735233239,1,4,1,512750.0,3896350.0,223.9835948561693
273515,97977,OAK WILLOW,14.0,1,1800 CAMDEN RD,35.212739652084565,-80.85933825278447,1,4,1,512750.0,3896350.0,299.1683084005784
273656,97932,CRAPEMYRTLE SPP,6.0,1,1829 CLEVELAND AV,35.209964957771454,-80.85744949245979,1,4,1,512750.0,3896350.0,225.02959643260849
273704,97391,MAGNOLIA CUCUMBER TREE,7.0,1,101 W WORTHINGTON AV,35.211641509053734,-80.85986501051073,1,4,1,512750.0,3896350.0,172.76686118188698
273793,97940,OAK NORTHERN RED,7.0,1,300 EAST BV,35.21069242417058,-80.85664595701158,1,4,1,512750.0,3896350.0,305.31819791881355
273940,96771,ELM CHINESE,10.0,1,1910 SOUTH BV,35.210254255624456,-80.85949962127702,1,4,1,512750.0,3896350.0,42.45733775458606
274262,97501,CRAPEMYRTLE SPP,6.0,1,316 E WORTHINGTON AV,35.20936462721698,-80.85700602884945,1,4,1,512750.0,3896350.0,276.76064078641525
274378,97916,CRAPEMYRTLE SPP,2.0,1,401 E WORTHINGTON AV,35.209190334008674,-80.85624123584006,1,4,1,512750.0,3896350.0,348.9915924584389
274662,97998,CRAPEMYRTLE SPP,4.0,1,208 EAST BV,35.21127154750952,-80.85726248561542,1,4,1,512750.0,3896350.0,275.20309077149443
274814,97359,CRAPEMYRTLE SPP,7.0,1,127 W WORTHINGTON AV,35.211862061466796,-80.86101929714086,1,4,1,512750.0,3896350.0,221.19480858772752
