INCIDENT_REPORT_ID,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,date,year,hour,day_type,cluster,cluster_title,geometry,nearest_station,station_list
20220704-0820-00,300 S BREVARD ST,28202,35.223007,-80.842269,Central,476,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,2022-07-04,2022,8,Weekday,1,Property Theft and Vandalism,POINT (-80.842269 35.223007),3rd St/Convention,"['3rd St/Convention', 'CTC/Arena', 'Brooklyn Village']"
20230104-1325-00,400 S TRYON ST,28202,35.22492,-80.846381,Central,476,Outdoors,Commercial Place,Other - Commercial Place,Simple Assault,2023-01-04,2023,13,Weekday,4,Sexual Violent Crimes,POINT (-80.846381 35.22492),3rd St/Convention,"['3rd St/Convention', 'Brooklyn Village']"
20180916-0854-01,900 SPINDLE ST,28206,35.230929,-80.831603,Central,476,Indoors,Residential,Private Residence,Sudden/Natural Death Investigation,2018-09-16,2018,8,Sunday,9,Non-Criminal Incident Reports,POINT (-80.831603 35.230929),9th Street,['9th Street']
20180523-1548-04,600 S TRYON ST,28202,35.223455,-80.848521,Central,476,Outdoors,Open Area,Construction Site,Sudden/Natural Death Investigation,2018-05-23,2018,15,Weekday,9,Non-Criminal Incident Reports,POINT (-80.848521 35.223455),Brooklyn Village,['Brooklyn Village']
20191125-1133-02,200 E BLAND ST,28203,35.217008,-80.854286,Central,3,Other,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,2019-11-25,2019,11,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.854286 35.217008),Bland,['Bland']
20230428-1602-03,600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,Parking Deck,Residential,Apartment/Duplex Private Res,Intimidation,2023-04-28,2023,16,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.837638 35.232696),9th Street,['9th Street']
20240703-0652-00,500 N DAVIDSON ST,28202,35.226699,-80.832944,Central,476,Indoors,Residential,Apartment/Duplex Private Res,All Other Offenses,2024-07-03,2024,6,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.832944 35.226699),9th Street,['9th Street']
20260118-0023-00,500 NORTH ELLIS LN,28202,35.228535,-80.83672,Central,476,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,False Pretenses/Swindle,2026-01-18,2026,0,Sunday,0,Fraudulent Financial Crimes,POINT (-80.83672 35.228535),7th Street,"['7th Street', '9th Street']"
20240229-1100-01,1300 SOUTH BV,28203,35.216373,-80.852115,Central,3,Indoors,Commercial Place,Other - Commercial Place,False Pretenses/Swindle,2024-02-29,2024,11,Weekday,0,Fraudulent Financial Crimes,POINT (-80.852115 35.216373),Bland,['Bland']
20170215-2050-03,300 S COLLEGE ST,28202,35.224709,-80.844206,Central,476,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,2017-02-15,2017,20,Weekday,1,Property Theft and Vandalism,POINT (-80.844206 35.224709),3rd St/Convention,"['3rd St/Convention', 'CTC/Arena', 'Brooklyn Village']"
20260112-0720-00,2000 SOUTH BV,28203,35.209772,-80.859833,Central,3,Indoors,Retail,Shopping Mall,Shoplifting,2026-01-12,2026,7,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.859833 35.209772),East/West,['East/West']
20221109-0754-01,200 N COLLEGE ST,28202,35.227041,-80.840856,Central,476,Outdoors,Public/Non-Residential,Dock/Wharf/Freight/Modal Terminal,Motor Vehicle Theft,2022-11-09,2022,7,Weekday,1,Property Theft and Vandalism,POINT (-80.840856 35.227041),CTC/Arena,"['CTC/Arena', '7th Street', '3rd St/Convention']"
20240302-1932-04,600 S CALDWELL ST,28202,35.219373,-80.84663,Central,476,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,2024-03-02,2024,19,Saturday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.84663 35.219373),Brooklyn Village,['Brooklyn Village']
20170120-1656-01,600 E TRADE ST,28202,35.222915,-80.83802,Central,476,Indoors,Commercial Place,Bus - Charter/Tour Bus,Pocket-Picking,2017-01-20,2017,16,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.83802 35.222915),CTC/Arena,"['CTC/Arena', '7th Street']"
20200618-2050-06,100 N TRYON ST,28202,35.227199,-80.843083,Central,476,Outdoors,Commercial Place,Other - Commercial Place,Arson,2020-06-18,2020,20,Weekday,6,"""Violent and Harmful Offenses""",POINT (-80.843083 35.227199),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20170418-1759-01,2000 EUCLID AV,28213,35.208109,-80.857522,Providence,3,Indoors,Residential,Private Residence,Wire Fraud,2017-04-18,2017,17,Weekday,0,Fraudulent Financial Crimes,POINT (-80.857522 35.208109),East/West,['East/West']
20180823-0715-01,300 S TRYON ST,28202,35.225651,-80.845306,Central,476,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,2018-08-23,2018,7,Weekday,1,Property Theft and Vandalism,POINT (-80.845306 35.225651),3rd St/Convention,"['3rd St/Convention', 'CTC/Arena']"
20230513-0556-01,300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,Parking Deck,Commercial Place,Other - Commercial Place,Motor Vehicle Theft,2023-05-13,2023,5,Saturday,1,Property Theft and Vandalism,POINT (-80.847028 35.226138),3rd St/Convention,['3rd St/Convention']
20231008-1323-00,300 E 6TH ST,28202,35.227841,-80.839745,Central,476,Parking Deck,Open Area,Other - Open Area,Theft From Motor Vehicle,2023-10-08,2023,13,Sunday,1,Property Theft and Vandalism,POINT (-80.839745 35.227841),7th Street,"['7th Street', 'CTC/Arena', '9th Street']"
20180904-1921-00,300 E TRADE ST,28202,35.226243,-80.841973,Central,476,Outdoors,Commercial Place,Stadium/Arena,Aggravated Assault,2018-09-04,2018,19,Weekday,4,Sexual Violent Crimes,POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20220424-1522-01,200 E 3RD ST,28202,35.224709,-80.844206,Central,476,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,2022-04-24,2022,15,Sunday,1,Property Theft and Vandalism,POINT (-80.844206 35.224709),3rd St/Convention,"['3rd St/Convention', 'CTC/Arena', 'Brooklyn Village']"
20220502-1730-00,100 S POPLAR ST,28202,35.228968,-80.84514,Central,476,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,2022-05-02,2022,17,Weekday,1,Property Theft and Vandalism,POINT (-80.84514 35.228968),CTC/Arena,['CTC/Arena']
20231015-0441-00,200 E 7TH ST,28202,35.228585,-80.838701,Central,476,Parking Lot,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,2023-10-15,2023,4,Sunday,1,Property Theft and Vandalism,POINT (-80.838701 35.228585),7th Street,"['7th Street', '9th Street', 'CTC/Arena']"
20181019-1035-00,300 N CALDWELL ST,28202,35.225305,-80.836821,Central,476,Parking Lot,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,2018-10-19,2018,10,Weekday,1,Property Theft and Vandalism,POINT (-80.836821 35.225305),7th Street,"['7th Street', 'CTC/Arena']"
20230920-1351-02,100 N TRYON ST,28202,35.227199,-80.843083,Central,476,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,2023-09-20,2023,13,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.843083 35.227199),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20241120-0720-02,700 E 7TH ST,28202,35.224416,-80.833784,Central,476,Outdoors,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,2024-11-20,2024,7,Weekday,1,Property Theft and Vandalism,POINT (-80.833784 35.224416),7th Street,['7th Street']
20220911-0701-00,500 N COLLEGE ST,28202,35.229332,-80.837656,Central,476,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,2022-09-11,2022,7,Sunday,1,Property Theft and Vandalism,POINT (-80.837656 35.229332),7th Street,"['7th Street', '9th Street']"
20191124-1230-03,300 E TRADE ST,28202,35.226243,-80.841973,Central,476,Indoors,Commercial Place,Other - Commercial Place,Purse-Snatching,2019-11-24,2019,12,Sunday,7,"""Financial and Personal Crimes""",POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20251021-0739-02,200 E MARTIN LUTHER KING JR BV,28202,35.223973,-80.845254,Central,476,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,2025-10-21,2025,7,Weekday,1,Property Theft and Vandalism,POINT (-80.845254 35.223973),3rd St/Convention,"['3rd St/Convention', 'Brooklyn Village', 'CTC/Arena']"
20211116-1747-00,700 N CALDWELL ST,28202,35.22815,-80.832776,Central,476,Indoors,Public/Non-Residential,School - Primary or Secondary,Forcible Fondling,2021-11-16,2021,17,Weekday,4,Sexual Violent Crimes,POINT (-80.832776 35.22815),9th Street,['9th Street']
20240628-1326-03,100 E 5TH ST,28202,35.227994,-80.841946,Central,476,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,2024-06-28,2024,13,Weekday,1,Property Theft and Vandalism,POINT (-80.841946 35.227994),CTC/Arena,"['CTC/Arena', '7th Street']"
20190314-1315-01,300 E TRADE ST,28202,35.226243,-80.841973,Central,476,Other,Commercial Place,Stadium/Arena,False Pretenses/Swindle,2019-03-14,2019,13,Weekday,0,Fraudulent Financial Crimes,POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20221029-1209-00,300 W BLAND ST,29203,35.219246,-80.857294,Central,339,Parking Lot,Public/Non-Residential,Other - Public/Non-Residential,All Other Offenses,2022-10-29,2022,12,Saturday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.857294 35.219246),Bland,['Bland']
20200417-1652-01,500 N COLLEGE ST,28202,35.229332,-80.837656,Central,476,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Damage/Vandalism Of Property,2020-04-17,2020,16,Weekday,1,Property Theft and Vandalism,POINT (-80.837656 35.229332),7th Street,"['7th Street', '9th Street']"
20240213-1641-01,200 W TRADE ST,28202,35.228131,-80.844166,Central,476,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,2024-02-13,2024,16,Weekday,1,Property Theft and Vandalism,POINT (-80.844166 35.228131),CTC/Arena,['CTC/Arena']
20210317-1136-02,300 W TREMONT AV,28203,35.210672,-80.86189,Central,338,Indoors,Commercial Place,Office,All Other Thefts,2021-03-17,2021,11,Weekday,1,Property Theft and Vandalism,POINT (-80.86189 35.210672),East/West,['East/West']
20171023-1139-02,400 E MARTIN LUTHER KING JR BV,28202,35.222248,-80.843363,Central,476,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,2017-10-23,2017,11,Weekday,1,Property Theft and Vandalism,POINT (-80.843363 35.222248),3rd St/Convention,"['3rd St/Convention', 'Brooklyn Village', 'CTC/Arena']"
20230524-1217-00,2100 SOUTH BV,28203,35.207769,-80.860343,Central,3,Indoors,Residential,Apartment/Duplex Private Res,Identity Theft,2023-05-24,2023,12,Weekday,1,Property Theft and Vandalism,POINT (-80.860343 35.207769),East/West,['East/West']
20241226-2019-00,600 E BROOKLYN VILLAGE AV,28202,35.219052,-80.843542,Central,3,Parking Deck,Commercial Place,Other - Commercial Place,Intimidation,2024-12-26,2024,20,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.843542 35.219052),Brooklyn Village,['Brooklyn Village']
20250520-2012-00,1500 SOUTH BV,28203,35.214569,-80.854568,Central,3,Indoors,Retail,Department Store,Shoplifting,2025-05-20,2025,20,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.854568 35.214569),Bland,['Bland']
20220926-1352-01,300 W BLAND ST,28203,35.219246,-80.857294,Central,339,Parking Lot,Commercial Place,Bar/Tavern/Nightclub,Theft From Motor Vehicle,2022-09-26,2022,13,Weekday,1,Property Theft and Vandalism,POINT (-80.857294 35.219246),Bland,['Bland']
20170510-2222-04,200 E TRADE ST,28202,35.226243,-80.841973,Central,476,Outdoors,Open Area,Street/Highway,All Other Thefts,2017-05-10,2017,22,Weekday,1,Property Theft and Vandalism,POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20250420-0851-00,2100 HAWKINS ST,28203,35.210672,-80.86189,Central,338,Other,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,2025-04-20,2025,8,Sunday,1,Property Theft and Vandalism,POINT (-80.86189 35.210672),East/West,['East/West']
20170220-1516-01,200 E TRADE ST,28202,35.226243,-80.841973,Central,476,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,2017-02-20,2017,15,Weekday,1,Property Theft and Vandalism,POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20240414-1840-03,500 E TRADE ST,28202,35.223768,-80.839041,Central,476,Parking Lot,Commercial Place,Other - Commercial Place,Theft of Motor Vehicle Parts from Vehicle,2024-04-14,2024,18,Sunday,1,Property Theft and Vandalism,POINT (-80.839041 35.223768),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20191230-1010-00,900 N COLLEGE ST,28206,35.232917,-80.832622,Central,476,Indoors,Residential,Other - Residential,All Other Thefts,2019-12-30,2019,10,Weekday,1,Property Theft and Vandalism,POINT (-80.832622 35.232917),9th Street,['9th Street']
20240315-1823-03,600 S CALDWELL ST,28202,35.219373,-80.84663,Central,476,Indoors,Retail,Drug Store,Shoplifting,2024-03-15,2024,18,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.84663 35.219373),Brooklyn Village,['Brooklyn Village']
20201211-2214-00,300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,Outdoors,Open Area,Public Park/Playground,Simple Assault,2020-12-11,2020,22,Weekday,4,Sexual Violent Crimes,POINT (-80.847028 35.226138),3rd St/Convention,['3rd St/Convention']
20251014-1536-01,200 S TRYON ST,28202,35.226412,-80.844208,Central,476,Outdoors,Open Area,Other - Open Area,Intimidation,2025-10-14,2025,15,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.844208 35.226412),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20230827-0822-00,1400 S CHURCH ST,28203,35.219246,-80.857294,Central,339,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,2023-08-27,2023,8,Sunday,1,Property Theft and Vandalism,POINT (-80.857294 35.219246),Bland,['Bland']
20250728-1356-00,300 S CHURCH ST,28201,35.226138,-80.847028,Central,476,Outdoors,Open Area,Public Park/Playground,Drug/Narcotic Violations,2025-07-28,2025,13,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.847028 35.226138),3rd St/Convention,['3rd St/Convention']
20251021-0742-01,600 E TRADE ST,28202,35.222915,-80.83802,Central,476,Other,Public/Non-Residential,Government Building,Missing Person,2025-10-21,2025,7,Weekday,9,Non-Criminal Incident Reports,POINT (-80.83802 35.222915),CTC/Arena,"['CTC/Arena', '7th Street']"
20240116-0830-00,500 E 4TH ST,28202,35.222953,-80.840194,Central,476,Outdoors,Open Area,Street/Highway,All Other Offenses,2024-01-16,2024,8,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.840194 35.222953),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20230420-1253-04,600 S COLLEGE ST,28202,35.222488,-80.847424,Central,476,Indoors,Commercial Place,ATM,Credit Card/Teller Fraud,2023-04-20,2023,12,Weekday,0,Fraudulent Financial Crimes,POINT (-80.847424 35.222488),Brooklyn Village,"['Brooklyn Village', '3rd St/Convention']"
20181205-2147-01,200 W MARTIN LUTHER KING JR BV,28203,35.225846,-80.847447,Central,476,Parking Deck,Commercial Place,Other - Commercial Place,Simple Assault,2018-12-05,2018,21,Weekday,4,Sexual Violent Crimes,POINT (-80.847447 35.225846),3rd St/Convention,['3rd St/Convention']
20190916-0823-00,1800 SOUTH BV,28203,35.211751,-80.857709,Central,3,Parking Lot,Public/Non-Residential,Air/Bus/Train Terminal,Theft From Motor Vehicle,2019-09-16,2019,8,Weekday,1,Property Theft and Vandalism,POINT (-80.857709 35.211751),East/West,['East/West']
20190603-1436-00,300 S COLLEGE ST,28202,35.224709,-80.844206,Central,476,Indoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,2019-06-03,2019,14,Weekday,1,Property Theft and Vandalism,POINT (-80.844206 35.224709),3rd St/Convention,"['3rd St/Convention', 'CTC/Arena', 'Brooklyn Village']"
20170528-0143-02,200 N COLLEGE ST,28202,35.227041,-80.840856,Central,476,Outdoors,Open Area,Street/Highway,Drug Equipment Violations,2017-05-28,2017,1,Sunday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.840856 35.227041),CTC/Arena,"['CTC/Arena', '7th Street', '3rd St/Convention']"
20230418-1932-01,100 E 4TH ST,28202,35.226412,-80.844208,Central,476,Outdoors,Open Area,Other - Open Area,All Other Thefts,2023-04-18,2023,19,Weekday,1,Property Theft and Vandalism,POINT (-80.844208 35.226412),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20190408-0408-00,200 S CALDWELL ST,28202,35.222953,-80.840194,Central,476,Other,Commercial Place,Hotel/Motel,All Other Thefts,2019-04-08,2019,4,Weekday,1,Property Theft and Vandalism,POINT (-80.840194 35.222953),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20241216-1824-03,200 S TRYON ST,28202,35.226412,-80.844208,Central,476,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,2024-12-16,2024,18,Weekday,1,Property Theft and Vandalism,POINT (-80.844208 35.226412),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20250719-2236-01,200 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,Indoors,Retail,Convenience Store,Shoplifting,2025-07-19,2025,22,Saturday,7,"""Financial and Personal Crimes""",POINT (-80.847447 35.225846),3rd St/Convention,['3rd St/Convention']
20180726-1859-00,1800 S TRYON ST,28203,35.213987,-80.861858,Central,388,Indoors,Retail,Other - Retail,False Pretenses/Swindle,2018-07-26,2018,18,Weekday,0,Fraudulent Financial Crimes,POINT (-80.861858 35.213987),East/West,['East/West']
20171213-1109-03,300 W TRADE ST,28202,35.228968,-80.84514,Central,476,Indoors,Residential,Apartment/Duplex Private Res,Credit Card/Teller Fraud,2017-12-13,2017,11,Weekday,0,Fraudulent Financial Crimes,POINT (-80.84514 35.228968),CTC/Arena,['CTC/Arena']
20180926-1427-03,1300 S COLLEGE ST,28203,35.217864,-80.853307,Central,339,Parking Deck,Open Area,Other - Open Area,All Other Offenses,2018-09-26,2018,14,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.853307 35.217864),Bland,['Bland']
20220618-1455-01,100 W TRADE ST,28202,35.227199,-80.843083,Central,476,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,2022-06-18,2022,14,Saturday,1,Property Theft and Vandalism,POINT (-80.843083 35.227199),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20210202-0952-01,200 S CALDWELL ST,28273,35.222953,-80.840194,Central,476,Indoors,Open Area,Street/Highway,Impersonation,2021-02-02,2021,9,Weekday,8,Fraudulent Identity Crimes,POINT (-80.840194 35.222953),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20210710-2055-01,200 DOGGETT ST,28203,35.211775,-80.862719,Central,388,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,2021-07-10,2021,20,Saturday,1,Property Theft and Vandalism,POINT (-80.862719 35.211775),East/West,['East/West']
20230220-1240-01,100 W BLAND ST,28203,35.218355,-80.856054,Central,339,Outdoors,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,2023-02-20,2023,12,Weekday,1,Property Theft and Vandalism,POINT (-80.856054 35.218355),Bland,['Bland']
20180204-1740-02,500 N CALDWELL ST,28202,35.227445,-80.833772,Central,476,Indoors,Residential,Apartment/Duplex Private Res,Burglary/B&E,2018-02-04,2018,17,Sunday,7,"""Financial and Personal Crimes""",POINT (-80.833772 35.227445),9th Street,"['9th Street', '7th Street']"
20230511-1819-01,500 S TRYON ST,28202,35.224178,-80.847459,Central,476,Parking Deck,Commercial Place,Other - Commercial Place,All Other Offenses,2023-05-11,2023,18,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.847459 35.224178),Brooklyn Village,"['Brooklyn Village', '3rd St/Convention']"
20210716-0048-00,100 W 5TH ST,28202,35.227994,-80.841946,Central,476,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,2021-07-16,2021,0,Weekday,4,Sexual Violent Crimes,POINT (-80.841946 35.227994),CTC/Arena,"['CTC/Arena', '7th Street']"
20230107-2151-00,200 S CHURCH ST,28202,35.22733,-80.845307,Central,476,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,2023-01-07,2023,21,Saturday,1,Property Theft and Vandalism,POINT (-80.845307 35.22733),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20220911-0138-02,1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,Outdoors,Open Area,Street/Highway,All Other Thefts,2022-09-11,2022,1,Sunday,1,Property Theft and Vandalism,POINT (-80.855588 35.216686),Bland,['Bland']
20240806-1722-01,400 E MARTIN LUTHER KING JR BV,28202,35.222248,-80.843363,Central,476,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,2024-08-06,2024,17,Weekday,1,Property Theft and Vandalism,POINT (-80.843363 35.222248),3rd St/Convention,"['3rd St/Convention', 'Brooklyn Village', 'CTC/Arena']"
20171030-0309-02,500 N TRYON ST,28202,35.230244,-80.838738,Central,476,Outdoors,Open Area,Street/Highway,All Other Offenses,2017-10-30,2017,3,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.838738 35.230244),9th Street,['9th Street']
20220714-2127-00,2100 SOUTHEND DR,28203,35.207236,-80.859618,Providence,3,Indoors,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,2022-07-14,2022,21,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.859618 35.207236),East/West,['East/West']
20191110-1036-00,2100 SOUTHEND DR,28203,35.207236,-80.859618,Providence,3,Parking Deck,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,2019-11-10,2019,10,Sunday,1,Property Theft and Vandalism,POINT (-80.859618 35.207236),East/West,['East/West']
20190314-1153-02,200 ALPHA MILL LN,28206,35.231461,-80.832261,Central,476,Outdoors,Residential,Apartment/Duplex Private Res,Burglary/B&E,2019-03-14,2019,11,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.832261 35.231461),9th Street,['9th Street']
20251207-2218-00,400 E 4TH ST,28202,35.223788,-80.841164,Central,476,Indoors,Commercial Place,Other - Commercial Place,Burglary/B&E,2025-12-07,2025,22,Sunday,7,"""Financial and Personal Crimes""",POINT (-80.841164 35.223788),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20190122-0919-00,600 E TRADE ST,28202,35.222915,-80.83802,Central,476,Other,Public/Non-Residential,Government Building,Pornography/Obscene Material,2019-01-22,2019,9,Weekday,2,Sexual Offenses Against Privacy,POINT (-80.83802 35.222915),CTC/Arena,"['CTC/Arena', '7th Street']"
20200409-1845-00,600 E TRADE ST,28202,35.222915,-80.83802,Central,476,Other,Public/Non-Residential,Government Building,Pornography/Obscene Material,2020-04-09,2020,18,Weekday,2,Sexual Offenses Against Privacy,POINT (-80.83802 35.222915),CTC/Arena,"['CTC/Arena', '7th Street']"
20240211-1531-01,1500 S TRYON ST,28203,35.216099,-80.856237,Central,339,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,2024-02-11,2024,15,Sunday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.856237 35.216099),Bland,"['Bland', 'East/West']"
20211019-0821-00,100 S TRYON ST,28202,35.227199,-80.843083,Central,476,Outdoors,Open Area,Street/Highway,Simple Assault,2021-10-19,2021,8,Weekday,4,Sexual Violent Crimes,POINT (-80.843083 35.227199),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20221114-0032-01,1400 S CHURCH ST,28203,35.219246,-80.857294,Central,339,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,2022-11-14,2022,0,Weekday,1,Property Theft and Vandalism,POINT (-80.857294 35.219246),Bland,['Bland']
20170708-2350-02,200 E TRADE ST,28202,35.226243,-80.841973,Central,476,Indoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,2017-07-08,2017,23,Saturday,4,Sexual Violent Crimes,POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20220723-1631-01,100 E TRADE ST,28202,35.227199,-80.843083,Central,476,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Pocket-Picking,2022-07-23,2022,16,Saturday,7,"""Financial and Personal Crimes""",POINT (-80.843083 35.227199),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20170401-0733-00,300 E TRADE ST,28202,35.226243,-80.841973,Central,476,Indoors,Commercial Place,Stadium/Arena,All Other Thefts,2017-04-01,2017,7,Saturday,1,Property Theft and Vandalism,POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20221007-1219-00,600 N TRYON ST,28202,35.231598,-80.836839,Central,476,Outdoors,Open Area,Other - Open Area,Missing Person,2022-10-07,2022,12,Weekday,9,Non-Criminal Incident Reports,POINT (-80.836839 35.231598),9th Street,['9th Street']
20180228-0110-00,300 RENSSELAER AV,28203,35.214569,-80.854568,Providence,3,Indoors,Commercial Place,Bar/Tavern/Nightclub,Affray,2018-02-28,2018,1,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.854568 35.214569),Bland,['Bland']
20250508-0924-00,1700 CAMDEN RD,28203,35.213679,-80.857913,Central,388,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,2025-05-08,2025,9,Weekday,1,Property Theft and Vandalism,POINT (-80.857913 35.213679),East/West,"['East/West', 'Bland']"
20170616-0920-04,300 S COLLEGE ST,28202,35.224709,-80.844206,Central,476,Indoors,Commercial Place,Financial Institution,Other Unlisted Non-Criminal,2017-06-16,2017,9,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.844206 35.224709),3rd St/Convention,"['3rd St/Convention', 'CTC/Arena', 'Brooklyn Village']"
20240513-1728-02,1500 SOUTH BV,28203,35.214569,-80.854568,Central,3,Indoors,Retail,Other - Retail,Simple Assault,2024-05-13,2024,17,Weekday,4,Sexual Violent Crimes,POINT (-80.854568 35.214569),Bland,['Bland']
20181221-1342-02,1100 SOUTH BV,28203,35.217768,-80.850391,Central,3,Other,Residential,Apartment/Duplex Private Res,Impersonation,2018-12-21,2018,13,Weekday,8,Fraudulent Identity Crimes,POINT (-80.850391 35.217768),Carson,['Carson']
20240415-2132-05,500 N DAVIDSON ST,28206,35.226699,-80.832944,Central,476,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,2024-04-15,2024,21,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.832944 35.226699),9th Street,['9th Street']
20210523-1000-15,300 S DAVIDSON ST,28202,35.221303,-80.840288,Central,476,Parking Lot,Open Area,Other - Open Area,Theft From Motor Vehicle,2021-05-23,2021,10,Sunday,1,Property Theft and Vandalism,POINT (-80.840288 35.221303),3rd St/Convention,['3rd St/Convention']
