INCIDENT_REPORT_ID,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,date,year,hour,day_type,cluster,cluster_title,geometry,nearest_station,station_list
20220619-0235-00,1400 WINNIFRED ST,28208,35.21757,-80.856857,Central,339,Parking Deck,Commercial Place,Other - Commercial Place,All Other Offenses,2022-06-19,2022,2,Sunday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.856857 35.21757),Bland,['Bland']
20170228-0143-01,200 E TRADE ST,28208,35.226243,-80.841973,Central,476,Indoors,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,2017-02-28,2017,1,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20250527-1814-02,600 S TRYON ST,28208,35.223455,-80.848521,Central,476,Indoors,Residential,Garage/Storage - Attached,All Other Offenses,2025-05-27,2025,18,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.848521 35.223455),Brooklyn Village,['Brooklyn Village']
20251028-1558-00,500 N COLLEGE ST,28208,35.229332,-80.837656,Central,476,Parking Lot,Retail,Other - Retail,Theft From Motor Vehicle,2025-10-28,2025,15,Weekday,1,Property Theft and Vandalism,POINT (-80.837656 35.229332),7th Street,"['7th Street', '9th Street']"
20191003-0810-01,700 S COLLEGE ST,28208,35.221366,-80.849271,Central,476,Outdoors,Open Area,Street/Highway,All Other Offenses,2019-10-03,2019,8,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.849271 35.221366),Brooklyn Village,"['Brooklyn Village', 'Carson']"
20240717-1451-02,600 N CHURCH ST,28208,35.232696,-80.837638,Central,476,Indoors,Residential,Apartment/Duplex Private Res,Burglary/B&E,2024-07-17,2024,14,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.837638 35.232696),9th Street,['9th Street']
20230325-0009-01,300 W BLAND ST,28208,35.219246,-80.857294,Central,339,Indoors,Commercial Place,Bar/Tavern/Nightclub,Forcible Fondling,2023-03-25,2023,0,Saturday,4,Sexual Violent Crimes,POINT (-80.857294 35.219246),Bland,['Bland']
20250301-0414-02,100 W 5TH ST,28208,35.227994,-80.841946,Central,476,Outdoors,Open Area,Street/Highway,Disorderly Conduct,2025-03-01,2025,4,Saturday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.841946 35.227994),CTC/Arena,"['CTC/Arena', '7th Street']"
20170622-0131-00,300 E MOREHEAD ST,28208,35.218651,-80.848905,Central,476,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,2017-06-22,2017,1,Weekday,4,Sexual Violent Crimes,POINT (-80.848905 35.218651),Carson,"['Carson', 'Brooklyn Village']"
20170802-1500-04,300 E TRADE ST,28208,35.226243,-80.841973,Central,476,Other,Commercial Place,Bus - CATS Bus/Vehicle,Simple Assault,2017-08-02,2017,15,Weekday,4,Sexual Violent Crimes,POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
