OBJECTID,Corridor,Station,ProjectName,ProjectAddress,Status,ProjectType,LandUse,ResidentialUnits,AffordableUnits,HotelRooms,WalkDistance,EstimtatedCost,Completed,Developer,PublicFacing,Notes,ImageURL,OfficeSqFeet,RetailSqFeet,NonResSF,DateCompleted,Parking,SecCorridor,ShapeSTArea,ShapeSTLength
206,BLE,36,Mercury,609 E 36th St,Complete,NEWC,MTF,241,0,0,0.2,35000000,2016,Woodfield,Yes,,,0,0,0,,517,,140965.49459868,1702.06222528175
207,BL,BKV,Even Hotel,640 S CALDWELL ST,Under Construction,NEWC,MIXU,0,0,176,0.1,,,STONEWALL STATION INVESTMENTS,Yes,,,0,5034,5034,,1374,,19046.0929955468,565.973259865902
208,BL,BKV,Crescent Uptown,300 E Brooklyn Village Ave,Complete,NEWC,MIXU,450,0,0,0.1,162000000,2015,Crescent Communities,Yes,,,0,62000,62000,2015/06/07 00:00:00+00,1374,,182754.605482152,2048.2239008934
209,BL,BKV,Uptown Home2Suites Hotel,610 S CALDWELL ST,Complete,NEWC,MIXU,0,0,156,0.1,,2019,YELDA MANAGEMENT COMPANY,Yes,,,0,4200,4200,2019/10/14 00:00:00+00,1374,,25509.8075889321,654.546821310866
210,BL,BKV,D9 Brooklyn Village,650 E STONEWALL ST,Complete,NEWCR,RET,0,0,0,0.28,,2022,D9 Brewing,Yes,,,0,625,625,2022/04/01 00:00:00+00,,,5611.26042900357,314.405514406087
211,BL,BKV,White Lodging Hotel,601 S TRYON ST,Complete,NEWC,MIXU,0,0,381,0.12,,2021,Crescent Communities,Yes,,,0,36482,298724,2021/08/01 00:00:00+00,,,24810.0179216739,740.087898518279
212,BL,ARWW,Marlowe Place Apartments,1226 Bexton St,Complete,NEWC,MTF,245,,0,0.3,,2020,,Yes,,,0,0,0,2020/07/28 00:00:00+00,401,,643664.89048197,3444.84402511191
213,BL,EAWT,Lowes Tower,126 W. Worthington Ave,Complete,NEWC,MIXU,0,0,0,0.02,153000000,2022,,Yes,,,257102,21502,278604,,896,,55467.9171622979,1046.27761218682
214,BL,CAR,Spectrum South End,1120 S Tryon St,Complete,NEWC,MIXU,0,0,200,0.17,200000000,2022,The Spectrum Companies,Yes,,,580000,50000,684000,,1618,,211748.080378773,1859.40630960901
215,BL,CAR,1120 S Mint,1120 S Mint St,Complete,NEWC,TWHM,31,0,0,0.44,7500000,2020,,Yes,,,0,0,0,,,,44517.730758383,1024.72399652617
216,BL,CAR,Link Mint Street,1200 S Mint St,Under Construction,NEWC,MTF,259,0,0,0.45,58000000,,Grubb Properties,Yes,,,0,0,,,,,69782.7143310595,1118.40558135305
217,BL,CAR,Radius Dilworth,615 E Morehead St,Under Construction,NEWC,MIXU,626,0,0,0.46,150000000,,Spandrel Development,Yes,,,0,6200,,,700,,123862.754533502,1750.29564651271
218,BL,CAR,1300 S Church,1300 S Church St,Complete,RENOA,OFF,0,0,0,0.42,,2020,Corrum Capital,Yes,,,5885,0,5885,,9,,14508.4011188498,486.011032272212
219,BL,CAR,Carson Mint Mixed Use,1115 Mint St,Under Construction,NEWC,MIXU,303,0,0,0.37,68000000,,Spectrum Companies,Yes,,,2818,11214,,,414,,98251.6770061835,1277.43139449101
220,BL,CAR,Hanover East Morehead,711 E MOREHEAD ST,Under Construction,NEWC,MTF,350,0,0,0.43,79000000,,Hanover,Yes,,,0,0,,,89,,63806.4712148093,1036.38386092755
221,BL,CAR,Fire Station Upfit,1215 South Blvd,Under Construction,RENOA,RET,0,0,0,0.23,1500000,,SLT COMMERCIAL PROPERTIES,Yes,,,0,3492,3492,,32,,21349.2041180498,586.758619799067
222,BL,NBN,2300 Dunavant St,2300 Dunavant St,Under Construction,NEWC,MTF,426,0,0,0.5,95000000,,Akridge,Yes,,,0,0,0,,584,,120931.274940711,1453.34300290208
223,BL,EAWT,325 East Blvd,325 East Blvd,Under Construction,NEWC,TWHM,12,0,0,0.25,3200000,,,Yes,,,0,0,0,,16,,13787.6647987593,477.754962756141
224,BL,EAWT,527 Tremont Townhomes,527 Tremont Ave,Under Construction,NEWC,TWHM,103,0,0,0.63,20000000,,,Yes,,,0,0,0,,,,217612.515965842,2100.67392116214
225,BL,EAWT,DCC Parking Deck,1916 DOGGETT ST,Complete,NEWC,PKD,0,0,0,0.2,11000000,2017,RAM Real Estate,Yes,,,0,0,123066,,167,,46304.9271433355,931.636012117156
226,BL,EAWT,Hawkins Tower,240 DOGGETT ST,Complete,NEWC,MIXU,71,0,0,0.2,20000000,2021,RAM Real Estate,Yes,,,0,5850,5850,,167,,15957.7549123413,508.62891349399
227,BL,EAWT,The Puttery,210 RAMPART ST,Complete,ADR,RET,0,0,0,0.39,,2021,Drive Shack,Yes,,,0,15032,15032,,,,37492.0297009555,865.551176436636
228,BL,EAWT,The Fulcrum Worthington,1900 S TRYON ST,Under Construction,NEWC,MIXU,45,0,0,0.32,9277500,,Fulcrum Living,Yes,,,0,2775,2775,,55,,33475.4851209965,820.847088772299
229,BL,EAWT,Graystar South End,1700 South Bv.,Under Construction,NEWC,MIXU,324,0,0,0.15,162000000,,Greystar,Yes,,,0,10238,10238,,479,,48964.3723946947,898.61970101367
230,BL,EAWT,Hawkins & Rampart,2202-2232 Hawkins St.,Complete,RENOA,MIXU,0,0,0,0.42,2114750,2022,,Yes,,,,42995,42995,,75,,108695.482649284,1615.39974994622
231,BL,EAWT,Skiptown,222 RAMPART ST,Complete,ADR,OFF,0,0,0,0.4,,2022,,Yes,,,24105,0,24105,,8,,43768.5872910826,849.6177965803
232,BL,I485S,Carolina Pavillion Outparcel,9813 South Bv,Complete,NEWC,RET,0,0,0,0.43,3200000,2006,,Yes,,,0,15333,15333,,,,68010.4874085396,1096.74239345693
233,BL,NBN,3030 South Infill 1,3000 South Bv.,Under Construction,NEWC,MTF,15,0,0,0.1,2700000,,,Yes,,,0,0,0,,,,8079.43312307539,376.039379030559
234,BL,NBN,3030 South Infill 2,3000 South Bv.,Under Construction,NEWC,MTF,3,0,0,0.05,800000,,,Yes,,,0,0,0,,,,2992.55318208653,228.212355249892
235,BL,NBN,Foster Apartments,201 Foster Av,Under Construction,NEWC,MIXU,113,0,0,0.18,17130180,,Morningstar Properties,Yes,,,194,1444,1638,,46,,39180.90035673,815.920445739922
236,BL,NBN,Belton Townhomes,325 Belton St,Complete,NEWC,TWHM,72,0,0,0.5,14000000,2018,Pulte,Yes,,,0,0,0,,,,405714.06805344,4069.13224864178
237,BL,NBN,Aloft South End,3042 South Blvd,Proposed,NEWC,HOS,0,0,140,0.16,85000000,,HMS Management,Yes,,,0,11000,11000,,142,,37376.090583296,832.463296011361
238,BL,NBN,Long Animal Hospital,2523 South Blvd,Complete,NEWC,OFF,0,0,0,0.38,,2013,Killough Properties LLC,Yes,,,31000,0,31000,,45,,37863.2817986026,778.827670950615
239,BL,NBN,Sedgefield Shopping Center,2701 SOUTH BV,Complete,NEWC,RET,0,0,0,0.35,,2017,Marsh Properties,Yes,,,0,65750,65750,,229,,204233.208133326,1850.69151664072
240,BL,NBN,Sedgefield MF - Parcel C,231 ELMHURST RD,Complete,NEWC,MTF,263,0,0,0.38,52000000,2019,Marsh Properties,Yes,,,0,0,0,,413,,182208.362631122,1786.77187563901
241,BL,NBN,Lenny Boy Brewing,3000 S Tryon St,Complete,RENOA,RET,0,0,0,0.25,,2017,,Yes,,,0,31000,31000,,,,99330.3963426936,1343.87191103231
242,BL,SCB,Novel LoSo,3551 DEWITT LN,Complete,NEWC,MTF,344,0,0,0.05,77000000,2022,Crescent Communities,Yes,,,0,0,0,,8,,168261.941504109,2015.23747492388
243,BL,SCB,LoSo Building 3,3742 South Bv,Under Construction,NEWC,MIXU,0,0,0,0.01,10000000,,Beacon Partners,Yes,,,86144,15000,101144,,8,,42321.2277679498,890.600109111301
244,BLE,SUG,Tempus,3746 N. Davidson St.,Complete,ADR,OFF,0,0,0,0.2,702000,2021,Colliers,Yes,,,19825,0,19825,,74,,62497.8492669837,1016.88568768688
245,BL,SCB,Cama Street Apartments,200 Cama St.,Complete,NEWC,MTF,350,0,0,0.14,49300000,2020,Pollack Shores,Yes,,,0,0,0,,456,,197040.868441362,2337.15039936464
246,BL,SCB,East Cama Townhomes,4101 S Tryon St,Under Construction,NEWC,TWHM,16,0,0,0.5,6400000,,Boulevard Real Estate,Yes,,,0,0,0,,,,28315.6606154613,669.541780544155
