centroid_id,tree_count,mean_dist_m,max_dist_m
96,170,53.71477756987822,129.76224942994835
105,136,59.77928671216301,130.67640875307438
118,133,46.13870596314928,117.29652672436306
123,122,51.16791107943803,130.89279201413189
113,108,51.5712047139905,119.82092210443803
101,103,60.51498832482579,132.33103458514722
84,89,58.260044417129514,118.91545454282492
111,84,47.31361758506682,102.6127523577558
127,81,48.08496227935301,115.9801333305916
28,79,56.18900536053403,126.10274587544211
107,78,45.674222784456056,68.6807652570373
133,76,67.78036041430055,113.61828739388324
142,72,57.09816982520571,178.9754445829831
116,70,44.22874907211753,86.76316664199554
122,69,51.679491815489975,106.44980350882615
121,68,43.773643364964606,68.78311879916305
95,68,62.00807587412106,116.20089140826707
144,63,41.69465656738191,88.27032186753524
129,63,47.277837418378326,70.9310378648612
92,63,40.15615208907327,65.9708026465414
106,61,61.55162551415743,120.22034731048274
38,58,44.95359654618033,77.34339698971002
97,58,37.106318197907065,64.57163103495044
102,58,36.56920224465078,63.748357177843246
41,57,40.899957667267266,75.00955104274719
46,56,65.51280927726707,118.27938750464514
30,56,38.470066950086625,73.35472132681126
114,55,39.63093380285512,78.4752002683838
162,55,32.60291982168025,70.50126567804888
134,54,43.528116905589904,78.6655269158621
120,53,82.71743457163065,223.52914907943202
110,52,56.79685827015412,97.53651140374242
26,50,38.77419180651692,88.63496635809162
151,49,36.56165540668896,61.157118833493506
136,47,49.98829535008337,98.52082916503828
124,46,41.119246718635765,109.02907853459631
22,46,43.94138313998827,67.70161422458689
47,45,47.231726911272695,106.4364515164822
119,45,39.40910535000797,69.0852657756324
32,44,61.76206470889219,122.65932197996554
48,42,42.474498837887346,79.83511352145078
63,41,46.169488113018204,101.42851009240005
150,41,60.182288377040415,181.09916228701175
25,40,41.85951859497841,67.3157567652187
157,40,32.434633251808165,58.1209248081031
85,39,37.04790082359599,62.46160939466942
112,39,40.5515081299997,87.11483424425367
13,39,54.404640431496716,123.86320900600431
117,37,47.9888253913253,122.31868617734187
91,36,36.33227307570868,59.16776201888031
9,36,52.00721333174484,158.83958909610968
43,36,51.970997443925285,90.29780465353221
58,35,47.6605116194029,97.31274411483118
17,34,71.8764199700146,127.32903909812714
130,34,52.466776885579186,102.62815254622922
131,33,39.96806750968359,70.62738952342607
143,33,40.42983109136453,66.64952370699613
77,33,43.23263087258319,71.85187965819746
100,33,52.99542907082281,108.28061188866101
94,33,38.812580097654774,64.11299109903094
40,33,42.69017486873465,79.48194120998669
33,33,43.34057318630294,79.52597136242767
168,32,28.99112745613088,55.70369588137344
65,31,36.39357127998911,75.91653308221733
161,31,55.852218973049055,156.00294560213385
156,30,40.83376847766827,66.89912731423819
163,30,23.981798215883614,46.04039248705188
98,30,41.55596004679719,63.42226142559649
169,30,29.645763459064987,57.16716521730244
83,29,48.31669356160892,105.1350464140081
76,29,56.19688084633402,151.30309221124608
140,29,46.048826873677044,96.62262807071873
103,29,38.31446209374849,59.30780319606835
51,28,46.87394014200096,93.66860064188783
82,26,33.458506496138405,67.41781702175359
16,26,39.175280870093054,73.34375215360402
60,26,23.35531661699776,68.29617966028528
18,25,46.962707713543004,107.70713130944218
67,25,66.41940663899454,109.12077417126329
176,25,30.366379416314807,53.45012749009872
141,24,69.05165099746398,123.71253706555564
165,23,25.293137906012653,49.25496415993818
68,23,43.512383165087805,110.50702261069776
135,23,48.669625944446935,77.00841520217806
86,23,39.27230666238495,87.9498542294522
27,23,44.78881005722772,84.90521991433545
125,22,29.39910502960614,62.96334245149636
50,22,56.96062535566529,110.23722775869489
81,22,53.20170088337556,70.468589075708
57,21,35.22950000790461,68.19824518092305
14,21,56.466326647005026,107.82284113115077
87,21,35.31494047528703,66.14194867973684
36,21,43.3378356679589,97.11708220236109
24,20,40.176546163196114,67.90801997970145
61,20,33.782918891122094,109.23386648373834
19,20,51.914706964692186,89.19948850708701
132,19,37.5903777626501,64.63978320802548
158,18,37.699835616763906,59.93659068047951
11,18,30.454508849432727,52.96768955944583
160,18,23.119787944008856,40.18383562029591
62,18,37.86752693545751,111.332782637871
152,18,42.95770800346587,57.03349031375249
138,18,42.24815182195957,69.83510396543552
115,17,43.36778662793695,92.4633700240609
6,17,47.64797260988853,89.84123054028483
21,17,37.994444287754746,69.21265804476965
104,17,49.016991807166036,85.28330888600233
137,16,34.530737038014905,52.530007280915335
53,16,35.9684340228449,70.9306507631562
80,15,68.73541528544517,92.19446053399959
23,15,46.259648624510604,128.63360149342802
1,15,34.748774934735756,68.09551094405394
166,15,38.26535388812256,61.05009016943506
5,14,42.05966074465688,65.23584681966508
12,14,29.17127702089694,48.82566971011924
89,14,52.19114801089552,102.99304699390588
99,14,41.615499133157115,62.25984788381187
155,14,47.92535295340206,82.75346754951576
35,14,29.336874854309563,38.26811859852983
31,14,42.8129848076566,79.9050937968271
126,13,13.442240152214689,31.447613841620147
109,13,39.10752958391957,59.69849592939696
177,13,27.55538183418315,47.48203794882635
15,12,35.371113836391345,64.39778190478691
8,12,28.03398850280907,45.488712989504066
79,12,61.08536368179409,102.11699714819912
54,12,48.59662021232296,92.53080639310886
139,11,29.844132211918517,57.66589597823193
173,11,37.04613036413854,62.609963285887126
170,11,37.887011153183124,84.1835780960727
147,11,43.28700041189428,87.3308389034618
167,10,22.788927078448214,41.755669821242
145,10,27.865522896257083,37.71191703656985
0,10,64.04148308212952,87.26970364592863
29,9,20.861525420859916,36.51148725506731
55,9,26.483714891236122,48.72298541682743
56,9,38.05087950322814,63.48878705615102
182,9,53.413993828059745,84.93575411731652
179,9,22.05785202948875,39.492797859117694
146,9,24.104953927256574,49.10242917039056
64,8,25.371436604135553,47.94090740894944
4,8,39.88504108095086,83.34021001813686
3,7,119.3044954549916,162.90346092283204
72,7,63.16889620767555,99.3916299096866
45,7,15.572788655484857,24.153948105147066
78,7,63.50005860585116,95.30883681411643
7,7,36.56293891813608,93.28066151524173
44,7,42.550667318598094,77.53033621339073
108,6,43.82109709828605,68.74290517968814
153,6,60.38550326394679,74.71856695474597
52,6,27.39024219058834,48.391308710351346
88,6,26.196261809068687,34.51539187366449
34,6,44.30980798054157,54.68509807295815
42,6,22.566136479367362,34.74801816324007
20,5,20.303488184402696,36.02664928750245
10,5,59.84472635571878,82.23346093301954
59,5,49.29428452520515,61.685719644610124
49,5,14.00758509544126,26.97776577227506
149,5,38.17459736384779,52.51794888877124
37,4,22.068533977853807,29.053066261474672
66,4,37.329661527473704,43.16463653862756
181,3,16.304520844073508,18.772934060445507
90,3,97.09294179881424,102.6266968573643
93,3,53.40058627226864,53.40058627226864
171,3,58.56599012819371,71.63368915747745
154,2,66.45471727086937,77.45438029662452
183,2,13.205715813977159,15.282449941366542
128,2,49.4115935444518,93.64226986562295
39,1,87.97793060112078,87.97793060112078
75,1,162.65820804223105,162.65820804223105
