OBJECTID,Tree_ID,Common,DBH,Active,Location,geometry,index_right,name,lat,lon,Deciduous
261655,97495,CRAPEMYRTLE SPP,8.0,1,304 E WORTHINGTON AV,POINT (512977.7120959024 3896304.943844799),7,East/West,35.21194,-80.85917,1
262189,97471,CRAPEMYRTLE SPP,10.0,1,1950 ABBOTT ST,POINT (512404.87277207995 3896555.0739345113),7,East/West,35.21194,-80.85917,1
262428,97927,OAK WILLOW,22.0,1,315 E WORTHINGTON AV,POINT (513012.39101573115 3896291.0047565815),7,East/West,35.21194,-80.85917,1
262703,106665,MAPLE RED,7.0,1,1924 CLEVELAND AV,POINT (512860.33607008576 3896239.140015876),7,East/West,35.21194,-80.85917,1
262891,97498,CRAPEMYRTLE SPP,4.0,1,316 E WORTHINGTON AV,POINT (513008.7587404053 3896276.499349553),7,East/West,35.21194,-80.85917,1
263242,97941,PECAN,26.0,1,228 EAST BV,POINT (513031.52296737855 3896418.7862097253),7,East/West,35.21194,-80.85917,1
263367,97978,OAK WILLOW,15.0,1,1800 CAMDEN RD,POINT (512812.4701069428 3896637.523145299),7,East/West,35.21194,-80.85917,1
264149,97354,CRAPEMYRTLE SPP,5.0,1,1930 CAMDEN RD,POINT (512616.2380036379 3896485.719900726),7,East/West,35.21194,-80.85917,1
264287,97959,ELM CHINESE,14.0,1,1901 SOUTH BV,POINT (512841.3913567564 3896400.9092268283),7,East/West,35.21194,-80.85917,1
264669,97517,CRAPEMYRTLE SPP,7.0,1,1923 EUCLID AV,POINT (512995.13492153154 3896151.4122045888),7,East/West,35.21194,-80.85917,1
