Station,Average_Weekday,Average_Saturday,Average_Sunday,Overall_Average
3rd St/Convention,1149.764705882353,641.2058823529412,398.79411764705884,729.921568627451
7th Street,610.2647058823529,563.8823529411765,329.11764705882354,501.08823529411757
9th Street,402.0882352941176,359.97058823529414,274.52941176470586,345.52941176470586
Bland,429.61764705882354,706.0294117647059,289.02941176470586,474.892156862745
Brooklyn Village,925.9705882352941,736.2941176470588,470.5882352941176,710.9509803921569
Carson,293.2352941176471,334.8529411764706,181.7058823529412,269.9313725490196
CTC/Arena,2565.676470588235,1792.0,1270.2058823529412,1875.9607843137255
East/West,740.3823529411765,991.3529411764706,496.20588235294116,742.6470588235294
