INCIDENT_REPORT_ID,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,date,year,hour,day_type,cluster,cluster_title,geometry,index_right,name,lat,lon,tempmax,tempmin,temp,precip,precipcover,cloudcover,humidity,windspeed,visibility,snow,conditions
20230907-1401-03,300 E TRADE ST,28208,35.23,-80.84,Central,476,Indoors,Open Area,Other - Open Area,Other Unlisted Non-Criminal,2023-09-07,2023,14,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.841973 35.226243),3,3rd St/Convention,35.22361,-80.84306,92.5,70.8,80.2,0.073,12.5,57.9,67.1,14.4,9.7,0.0,"Rain, Partially cloudy"
20241221-1253-00,200 W MARTIN LUTHER KING JR BV,28208,35.23,-80.85,Central,476,Outdoors,Residential,Apartment/Duplex Private Res,Robbery,2024-12-21,2024,12,Saturday,7,"""Financial and Personal Crimes""",POINT (-80.847447 35.225846),3,3rd St/Convention,35.22361,-80.84306,49.7,32.0,39.1,0.0,0.0,15.9,54.2,14.1,9.9,0.0,Clear
20200531-0307-01,300 S CHURCH ST,28208,35.23,-80.85,Central,476,Indoors,Commercial Place,Bar/Tavern/Nightclub,Burglary/B&E,2020-05-31,2020,3,Sunday,7,"""Financial and Personal Crimes""",POINT (-80.847028 35.226138),3,3rd St/Convention,35.22361,-80.84306,78.0,68.0,73.0,0.0,0.0,59.5,53.6,13.2,9.9,0.0,Partially cloudy
20220620-1933-02,200 EAST BV,28208,35.21,-80.86,Central,3,Outdoors,Retail,Convenience Store,Trespass Of Real Property,2022-06-20,2022,19,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.857709 35.211751),7,East/West,35.21194,-80.85917,83.7,57.6,73.0,0.0,0.0,52.4,43.1,8.6,9.9,0.0,Partially cloudy
20210926-0525-01,600 N TRYON ST,28208,35.23,-80.84,Central,476,Parking Lot,Open Area,Other - Open Area,Theft From Motor Vehicle,2021-09-26,2021,5,Sunday,1,Property Theft and Vandalism,POINT (-80.836839 35.231598),0,9th Street,35.2297,-80.835,78.8,52.7,65.7,0.0,0.0,14.0,67.0,6.9,9.7,0.0,Clear
20190614-1841-00,300 S BREVARD ST,28208,35.22,-80.84,Central,476,Outdoors,Commercial Place,Other - Commercial Place,Motor Vehicle Theft,2019-06-14,2019,18,Weekday,1,Property Theft and Vandalism,POINT (-80.842269 35.223007),2,CTC/Arena,35.225,-80.84139,79.2,53.3,68.1,0.0,0.0,14.1,48.0,9.4,9.9,0.0,Clear
20190614-1841-00,300 S BREVARD ST,28208,35.22,-80.84,Central,476,Outdoors,Commercial Place,Other - Commercial Place,Motor Vehicle Theft,2019-06-14,2019,18,Weekday,1,Property Theft and Vandalism,POINT (-80.842269 35.223007),3,3rd St/Convention,35.22361,-80.84306,79.2,53.3,68.1,0.0,0.0,14.1,48.0,9.4,9.9,0.0,Clear
20190614-1841-00,300 S BREVARD ST,28208,35.22,-80.84,Central,476,Outdoors,Commercial Place,Other - Commercial Place,Motor Vehicle Theft,2019-06-14,2019,18,Weekday,1,Property Theft and Vandalism,POINT (-80.842269 35.223007),4,Brooklyn Village,35.22139,-80.84694,79.2,53.3,68.1,0.0,0.0,14.1,48.0,9.4,9.9,0.0,Clear
20230217-2157-00,300 S CHURCH ST,28208,35.23,-80.85,Central,476,Outdoors,Open Area,Public Park/Playground,Aggravated Assault,2023-02-17,2023,21,Weekday,4,Sexual Violent Crimes,POINT (-80.847028 35.226138),3,3rd St/Convention,35.22361,-80.84306,70.4,38.7,58.5,0.281,25.0,80.4,68.5,20.2,9.3,0.0,"Rain, Partially cloudy"
20200609-1744-01,300 E MOREHEAD ST,28208,35.22,-80.85,Central,476,Outdoors,Open Area,Other - Open Area,Indecent Exposure,2020-06-09,2020,17,Weekday,2,Sexual Offenses Against Privacy,POINT (-80.848905 35.218651),4,Brooklyn Village,35.22139,-80.84694,89.0,74.7,81.1,0.09,4.17,63.5,73.3,12.5,9.1,0.0,"Rain, Partially cloudy"
